"MTU (CET)","Generation - Sum [MW] (D) / BZN|DE-AT-LU","Generation - Solar  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] (D) / BZN|DE-AT-LU"
"01.01.2017 18:00 - 01.01.2017 18:15 (CET)","13880","9","1286","12585"
"01.01.2017 18:15 - 01.01.2017 18:30 (CET)","13958","8","1304","12646"
"01.01.2017 18:30 - 01.01.2017 18:45 (CET)","14037","8","1329","12700"
"01.01.2017 18:45 - 01.01.2017 19:00 (CET)","14125","8","1356","12761"
"01.01.2017 19:00 - 01.01.2017 19:15 (CET)","14185","0","1390","12795"
"01.01.2017 19:15 - 01.01.2017 19:30 (CET)","14175","0","1466","12709"
"01.01.2017 19:30 - 01.01.2017 19:45 (CET)","14168","0","1540","12628"
"01.01.2017 19:45 - 01.01.2017 20:00 (CET)","14160","0","1612","12548"
"01.01.2017 20:00 - 01.01.2017 20:15 (CET)","14213","0","1680","12533"
"01.01.2017 20:15 - 01.01.2017 20:30 (CET)","14227","0","1753","12474"
"01.01.2017 20:30 - 01.01.2017 20:45 (CET)","14239","0","1816","12423"
"01.01.2017 20:45 - 01.01.2017 21:00 (CET)","14249","0","1889","12360"
"01.01.2017 21:00 - 01.01.2017 21:15 (CET)","14245","0","1953","12292"
"01.01.2017 21:15 - 01.01.2017 21:30 (CET)","14275","0","2019","12256"
"01.01.2017 21:30 - 01.01.2017 21:45 (CET)","14309","0","2087","12222"
"01.01.2017 21:45 - 01.01.2017 22:00 (CET)","14334","0","2154","12180"
"01.01.2017 22:00 - 01.01.2017 22:15 (CET)","14352","0","2217","12135"
"01.01.2017 22:15 - 01.01.2017 22:30 (CET)","14370","0","2255","12115"
"01.01.2017 22:30 - 01.01.2017 22:45 (CET)","14385","0","2289","12096"
"01.01.2017 22:45 - 01.01.2017 23:00 (CET)","14401","0","2325","12076"
"01.01.2017 23:00 - 01.01.2017 23:15 (CET)","14426","0","2360","12066"
"01.01.2017 23:15 - 01.01.2017 23:30 (CET)","14431","0","2385","12046"
"01.01.2017 23:30 - 01.01.2017 23:45 (CET)","14429","0","2406","12023"
"01.01.2017 23:45 - 02.01.2017 00:00 (CET)","14433","0","2427","12006"
"02.01.2017 00:00 - 02.01.2017 00:15 (CET)","13589","0","2489","11100"
"02.01.2017 00:15 - 02.01.2017 00:30 (CET)","13643","0","2510","11133"
"02.01.2017 00:30 - 02.01.2017 00:45 (CET)","13697","0","2531","11166"
"02.01.2017 00:45 - 02.01.2017 01:00 (CET)","13758","0","2553","11205"
"02.01.2017 01:00 - 02.01.2017 01:15 (CET)","13206","0","2576","10630"
"02.01.2017 01:15 - 02.01.2017 01:30 (CET)","13186","0","2573","10613"
"02.01.2017 01:30 - 02.01.2017 01:45 (CET)","13333","0","2574","10759"
"02.01.2017 01:45 - 02.01.2017 02:00 (CET)","13608","0","2574","11034"
"02.01.2017 02:00 - 02.01.2017 02:15 (CET)","13832","0","2579","11253"
"02.01.2017 02:15 - 02.01.2017 02:30 (CET)","13852","0","2567","11285"
"02.01.2017 02:30 - 02.01.2017 02:45 (CET)","13749","0","2557","11192"
"02.01.2017 02:45 - 02.01.2017 03:00 (CET)","13681","0","2547","11134"
"02.01.2017 03:00 - 02.01.2017 03:15 (CET)","13476","0","2540","10936"
"02.01.2017 03:15 - 02.01.2017 03:30 (CET)","13406","0","2533","10873"
"02.01.2017 03:30 - 02.01.2017 03:45 (CET)","13311","0","2527","10784"
"02.01.2017 03:45 - 02.01.2017 04:00 (CET)","13331","0","2520","10811"
"02.01.2017 04:00 - 02.01.2017 04:15 (CET)","13304","0","2532","10772"
"02.01.2017 04:15 - 02.01.2017 04:30 (CET)","13319","0","2505","10814"
"02.01.2017 04:30 - 02.01.2017 04:45 (CET)","13320","0","2477","10843"
"02.01.2017 04:45 - 02.01.2017 05:00 (CET)","13343","0","2449","10894"
"02.01.2017 05:00 - 02.01.2017 05:15 (CET)","13312","0","2421","10891"
"02.01.2017 05:15 - 02.01.2017 05:30 (CET)","13299","0","2394","10905"
"02.01.2017 05:30 - 02.01.2017 05:45 (CET)","13283","0","2373","10910"
"02.01.2017 05:45 - 02.01.2017 06:00 (CET)","13187","0","2350","10837"
"02.01.2017 06:00 - 02.01.2017 06:15 (CET)","13023","0","2328","10695"
"02.01.2017 06:15 - 02.01.2017 06:30 (CET)","13066","0","2289","10777"
"02.01.2017 06:30 - 02.01.2017 06:45 (CET)","12969","0","2248","10721"
"02.01.2017 06:45 - 02.01.2017 07:00 (CET)","12870","0","2210","10660"
"02.01.2017 07:00 - 02.01.2017 07:15 (CET)","12727","8","2175","10544"
"02.01.2017 07:15 - 02.01.2017 07:30 (CET)","12601","8","2185","10408"
"02.01.2017 07:30 - 02.01.2017 07:45 (CET)","12594","10","2200","10384"
"02.01.2017 07:45 - 02.01.2017 08:00 (CET)","12704","12","2211","10481"
"02.01.2017 08:00 - 02.01.2017 08:15 (CET)","12759","39","2229","10491"
"02.01.2017 08:15 - 02.01.2017 08:30 (CET)","12729","103","2245","10381"
"02.01.2017 08:30 - 02.01.2017 08:45 (CET)","12966","228","2259","10479"
"02.01.2017 08:45 - 02.01.2017 09:00 (CET)","13212","385","2275","10552"
"02.01.2017 09:00 - 02.01.2017 09:15 (CET)","12893","589","2292","10012"
"02.01.2017 09:15 - 02.01.2017 09:30 (CET)","13071","854","2353","9864"
"02.01.2017 09:30 - 02.01.2017 09:45 (CET)","13302","1169","2413","9720"
"02.01.2017 09:45 - 02.01.2017 10:00 (CET)","13546","1496","2471","9579"
"02.01.2017 10:00 - 02.01.2017 10:15 (CET)","13778","1825","2423","9530"
"02.01.2017 10:15 - 02.01.2017 10:30 (CET)","13967","2137","2465","9365"
"02.01.2017 10:30 - 02.01.2017 10:45 (CET)","14144","2437","2497","9210"
"02.01.2017 10:45 - 02.01.2017 11:00 (CET)","14284","2710","2539","9035"
"02.01.2017 11:00 - 02.01.2017 11:15 (CET)","14396","2949","2574","8873"
"02.01.2017 11:15 - 02.01.2017 11:30 (CET)","14453","3147","2550","8756"
"02.01.2017 11:30 - 02.01.2017 11:45 (CET)","14464","3303","2526","8635"
"02.01.2017 11:45 - 02.01.2017 12:00 (CET)","14442","3420","2504","8518"
"02.01.2017 12:00 - 02.01.2017 12:15 (CET)","14385","3488","2482","8415"
"02.01.2017 12:15 - 02.01.2017 12:30 (CET)","14354","3482","2483","8389"
"02.01.2017 12:30 - 02.01.2017 12:45 (CET)","14280","3429","2489","8362"
"02.01.2017 12:45 - 02.01.2017 13:00 (CET)","14190","3340","2493","8357"
"02.01.2017 13:00 - 02.01.2017 13:15 (CET)","14057","3211","2497","8349"
"02.01.2017 13:15 - 02.01.2017 13:30 (CET)","13986","3050","2494","8442"
"02.01.2017 13:30 - 02.01.2017 13:45 (CET)","13876","2850","2494","8532"
"02.01.2017 13:45 - 02.01.2017 14:00 (CET)","13738","2614","2494","8630"
"02.01.2017 14:00 - 02.01.2017 14:15 (CET)","13600","2348","2494","8758"
"02.01.2017 14:15 - 02.01.2017 14:30 (CET)","13426","2045","2481","8900"
"02.01.2017 14:30 - 02.01.2017 14:45 (CET)","13251","1733","2472","9046"
"02.01.2017 14:45 - 02.01.2017 15:00 (CET)","13075","1417","2456","9202"
"02.01.2017 15:00 - 02.01.2017 15:15 (CET)","12917","1105","2440","9372"
"02.01.2017 15:15 - 02.01.2017 15:30 (CET)","12810","793","2483","9534"
"02.01.2017 15:30 - 02.01.2017 15:45 (CET)","12790","523","2520","9747"
"02.01.2017 15:45 - 02.01.2017 16:00 (CET)","12781","303","2560","9918"
"02.01.2017 16:00 - 02.01.2017 16:15 (CET)","12823","147","2599","10077"
"02.01.2017 16:15 - 02.01.2017 16:30 (CET)","12897","71","2620","10206"
"02.01.2017 16:30 - 02.01.2017 16:45 (CET)","13014","40","2640","10334"
"02.01.2017 16:45 - 02.01.2017 17:00 (CET)","13130","19","2664","10447"
"02.01.2017 17:00 - 02.01.2017 17:15 (CET)","13265","13","2684","10568"
"02.01.2017 17:15 - 02.01.2017 17:30 (CET)","13470","13","2719","10738"
"02.01.2017 17:30 - 02.01.2017 17:45 (CET)","13681","11","2753","10917"
"02.01.2017 17:45 - 02.01.2017 18:00 (CET)","13891","8","2786","11097"
"02.01.2017 18:00 - 02.01.2017 18:15 (CET)","14075","8","2821","11246"
"02.01.2017 18:15 - 02.01.2017 18:30 (CET)","14234","8","2836","11390"
"02.01.2017 18:30 - 02.01.2017 18:45 (CET)","14395","8","2849","11538"
"02.01.2017 18:45 - 02.01.2017 19:00 (CET)","14537","8","2860","11669"
"02.01.2017 19:00 - 02.01.2017 19:15 (CET)","14666","0","2865","11801"
"02.01.2017 19:15 - 02.01.2017 19:30 (CET)","14687","0","2863","11824"
"02.01.2017 19:30 - 02.01.2017 19:45 (CET)","14709","0","2866","11843"
"02.01.2017 19:45 - 02.01.2017 20:00 (CET)","14728","0","2870","11858"
"02.01.2017 20:00 - 02.01.2017 20:15 (CET)","14837","0","2876","11961"
"02.01.2017 20:15 - 02.01.2017 20:30 (CET)","14854","0","2860","11994"
"02.01.2017 20:30 - 02.01.2017 20:45 (CET)","14871","0","2845","12026"
"02.01.2017 20:45 - 02.01.2017 21:00 (CET)","14889","0","2832","12057"
"02.01.2017 21:00 - 02.01.2017 21:15 (CET)","14922","0","2817","12105"
"02.01.2017 21:15 - 02.01.2017 21:30 (CET)","14972","0","2785","12187"
"02.01.2017 21:30 - 02.01.2017 21:45 (CET)","15024","0","2753","12271"
"02.01.2017 21:45 - 02.01.2017 22:00 (CET)","15081","0","2720","12361"
"02.01.2017 22:00 - 02.01.2017 22:15 (CET)","15148","0","2689","12459"
"02.01.2017 22:15 - 02.01.2017 22:30 (CET)","15179","0","2677","12502"
"02.01.2017 22:30 - 02.01.2017 22:45 (CET)","15210","0","2667","12543"
"02.01.2017 22:45 - 02.01.2017 23:00 (CET)","15234","0","2656","12578"
"02.01.2017 23:00 - 02.01.2017 23:15 (CET)","15266","0","2646","12620"
"02.01.2017 23:15 - 02.01.2017 23:30 (CET)","15293","0","2625","12668"
"02.01.2017 23:30 - 02.01.2017 23:45 (CET)","15320","0","2608","12712"
"02.01.2017 23:45 - 03.01.2017 00:00 (CET)","15353","0","2589","12764"
"03.01.2017 00:00 - 03.01.2017 00:15 (CET)","17413","0","2563","14850"
"03.01.2017 00:15 - 03.01.2017 00:30 (CET)","17547","0","2565","14982"
"03.01.2017 00:30 - 03.01.2017 00:45 (CET)","17690","0","2564","15126"
"03.01.2017 00:45 - 03.01.2017 01:00 (CET)","17839","0","2564","15275"
"03.01.2017 01:00 - 03.01.2017 01:15 (CET)","17778","0","2563","15215"
"03.01.2017 01:15 - 03.01.2017 01:30 (CET)","18042","0","2572","15470"
"03.01.2017 01:30 - 03.01.2017 01:45 (CET)","18129","0","2578","15551"
"03.01.2017 01:45 - 03.01.2017 02:00 (CET)","18167","0","2584","15583"
"03.01.2017 02:00 - 03.01.2017 02:15 (CET)","18385","0","2595","15790"
"03.01.2017 02:15 - 03.01.2017 02:30 (CET)","18272","0","2625","15647"
"03.01.2017 02:30 - 03.01.2017 02:45 (CET)","18479","0","2653","15826"
"03.01.2017 02:45 - 03.01.2017 03:00 (CET)","18540","0","2683","15857"
"03.01.2017 03:00 - 03.01.2017 03:15 (CET)","18574","0","2707","15867"
"03.01.2017 03:15 - 03.01.2017 03:30 (CET)","18790","0","2716","16074"
"03.01.2017 03:30 - 03.01.2017 03:45 (CET)","19067","0","2723","16344"
"03.01.2017 03:45 - 03.01.2017 04:00 (CET)","19192","0","2733","16459"
"03.01.2017 04:00 - 03.01.2017 04:15 (CET)","19385","0","2704","16681"
"03.01.2017 04:15 - 03.01.2017 04:30 (CET)","19527","0","2724","16803"
"03.01.2017 04:30 - 03.01.2017 04:45 (CET)","19632","0","2744","16888"
"03.01.2017 04:45 - 03.01.2017 05:00 (CET)","19768","0","2764","17004"
"03.01.2017 05:00 - 03.01.2017 05:15 (CET)","19962","0","2783","17179"
"03.01.2017 05:15 - 03.01.2017 05:30 (CET)","19990","0","2799","17191"
"03.01.2017 05:30 - 03.01.2017 05:45 (CET)","20175","0","2816","17359"
"03.01.2017 05:45 - 03.01.2017 06:00 (CET)","20185","0","2827","17358"
"03.01.2017 06:00 - 03.01.2017 06:15 (CET)","20192","0","2842","17350"
"03.01.2017 06:15 - 03.01.2017 06:30 (CET)","20343","0","2867","17476"
"03.01.2017 06:30 - 03.01.2017 06:45 (CET)","20424","0","2893","17531"
"03.01.2017 06:45 - 03.01.2017 07:00 (CET)","20486","0","2918","17568"
"03.01.2017 07:00 - 03.01.2017 07:15 (CET)","20490","8","2939","17543"
"03.01.2017 07:15 - 03.01.2017 07:30 (CET)","20458","8","2965","17485"
"03.01.2017 07:30 - 03.01.2017 07:45 (CET)","20682","10","2986","17686"
"03.01.2017 07:45 - 03.01.2017 08:00 (CET)","21000","13","3008","17979"
"03.01.2017 08:00 - 03.01.2017 08:15 (CET)","21197","40","3028","18129"
"03.01.2017 08:15 - 03.01.2017 08:30 (CET)","21386","97","3044","18245"
"03.01.2017 08:30 - 03.01.2017 08:45 (CET)","21826","211","3056","18559"
"03.01.2017 08:45 - 03.01.2017 09:00 (CET)","22264","360","3070","18834"
"03.01.2017 09:00 - 03.01.2017 09:15 (CET)","22828","562","3085","19181"
"03.01.2017 09:15 - 03.01.2017 09:30 (CET)","23294","802","3097","19395"
"03.01.2017 09:30 - 03.01.2017 09:45 (CET)","23810","1093","3106","19611"
"03.01.2017 09:45 - 03.01.2017 10:00 (CET)","24396","1406","3120","19870"
"03.01.2017 10:00 - 03.01.2017 10:15 (CET)","25016","1726","3124","20166"
"03.01.2017 10:15 - 03.01.2017 10:30 (CET)","25727","2039","3135","20553"
"03.01.2017 10:30 - 03.01.2017 10:45 (CET)","26419","2339","3148","20932"
"03.01.2017 10:45 - 03.01.2017 11:00 (CET)","27068","2605","3161","21302"
"03.01.2017 11:00 - 03.01.2017 11:15 (CET)","27696","2840","3173","21683"
"03.01.2017 11:15 - 03.01.2017 11:30 (CET)","28358","3050","3180","22128"
"03.01.2017 11:30 - 03.01.2017 11:45 (CET)","28963","3209","3187","22567"
"03.01.2017 11:45 - 03.01.2017 12:00 (CET)","29528","3354","3197","22977"
"03.01.2017 12:00 - 03.01.2017 12:15 (CET)","30015","3451","3206","23358"
"03.01.2017 12:15 - 03.01.2017 12:30 (CET)","30400","3476","3211","23713"
"03.01.2017 12:30 - 03.01.2017 12:45 (CET)","30754","3472","3214","24068"
"03.01.2017 12:45 - 03.01.2017 13:00 (CET)","31061","3447","3220","24394"
"03.01.2017 13:00 - 03.01.2017 13:15 (CET)","31308","3367","3223","24718"
"03.01.2017 13:15 - 03.01.2017 13:30 (CET)","31524","3247","3223","25054"
