"MTU (CET)","Generation - Sum [MW] (D) / BZN|DE-AT-LU","Generation - Solar  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] (D) / BZN|DE-AT-LU"
"20.02.2017 03:15 - 20.02.2017 03:30 (CET)","17179","0","3742","13437"
"20.02.2017 03:30 - 20.02.2017 03:45 (CET)","17394","0","3789","13605"
"20.02.2017 03:45 - 20.02.2017 04:00 (CET)","17498","0","3829","13669"
"20.02.2017 04:00 - 20.02.2017 04:15 (CET)","17699","0","4109","13590"
"20.02.2017 04:15 - 20.02.2017 04:30 (CET)","17975","0","4111","13864"
"20.02.2017 04:30 - 20.02.2017 04:45 (CET)","18233","0","4114","14119"
"20.02.2017 04:45 - 20.02.2017 05:00 (CET)","18499","0","4116","14383"
"20.02.2017 05:00 - 20.02.2017 05:15 (CET)","18755","0","4121","14634"
"20.02.2017 05:15 - 20.02.2017 05:30 (CET)","19046","0","4122","14924"
"20.02.2017 05:30 - 20.02.2017 05:45 (CET)","19400","0","4121","15279"
"20.02.2017 05:45 - 20.02.2017 06:00 (CET)","19766","0","4122","15644"
"20.02.2017 06:00 - 20.02.2017 06:15 (CET)","20128","0","4122","16006"
"20.02.2017 06:15 - 20.02.2017 06:30 (CET)","20491","0","4125","16366"
"20.02.2017 06:30 - 20.02.2017 06:45 (CET)","20893","1","4124","16768"
"20.02.2017 06:45 - 20.02.2017 07:00 (CET)","21274","1","4127","17146"
"20.02.2017 07:00 - 20.02.2017 07:15 (CET)","21677","17","4126","17534"
"20.02.2017 07:15 - 20.02.2017 07:30 (CET)","22049","51","4122","17876"
"20.02.2017 07:30 - 20.02.2017 07:45 (CET)","22540","151","4121","18268"
"20.02.2017 07:45 - 20.02.2017 08:00 (CET)","23115","318","4117","18680"
"20.02.2017 08:00 - 20.02.2017 08:15 (CET)","23719","549","4116","19054"
"20.02.2017 08:15 - 20.02.2017 08:30 (CET)","24339","814","4116","19409"
"20.02.2017 08:30 - 20.02.2017 08:45 (CET)","25018","1114","4114","19790"
"20.02.2017 08:45 - 20.02.2017 09:00 (CET)","25737","1431","4108","20198"
"20.02.2017 09:00 - 20.02.2017 09:15 (CET)","27171","1762","4104","21305"
"20.02.2017 09:15 - 20.02.2017 09:30 (CET)","27829","2094","4101","21634"
"20.02.2017 09:30 - 20.02.2017 09:45 (CET)","28483","2416","4097","21970"
"20.02.2017 09:45 - 20.02.2017 10:00 (CET)","29131","2718","4094","22319"
"20.02.2017 10:00 - 20.02.2017 10:15 (CET)","29745","3011","4059","22675"
"20.02.2017 10:15 - 20.02.2017 10:30 (CET)","30312","3295","4058","22959"
"20.02.2017 10:30 - 20.02.2017 10:45 (CET)","30865","3560","4057","23248"
"20.02.2017 10:45 - 20.02.2017 11:00 (CET)","31408","3802","4057","23549"
"20.02.2017 11:00 - 20.02.2017 11:15 (CET)","31919","4012","4055","23852"
"20.02.2017 11:15 - 20.02.2017 11:30 (CET)","32373","4180","4056","24137"
"20.02.2017 11:30 - 20.02.2017 11:45 (CET)","32774","4292","4057","24425"
"20.02.2017 11:45 - 20.02.2017 12:00 (CET)","33126","4365","4058","24703"
"20.02.2017 12:00 - 20.02.2017 12:15 (CET)","33431","4413","4059","24959"
"20.02.2017 12:15 - 20.02.2017 12:30 (CET)","33659","4395","4059","25205"
"20.02.2017 12:30 - 20.02.2017 12:45 (CET)","33861","4338","4062","25461"
"20.02.2017 12:45 - 20.02.2017 13:00 (CET)","34029","4268","4063","25698"
"20.02.2017 13:00 - 20.02.2017 13:15 (CET)","34138","4163","4063","25912"
"20.02.2017 13:15 - 20.02.2017 13:30 (CET)","34159","4017","4067","26075"
"20.02.2017 13:30 - 20.02.2017 13:45 (CET)","34148","3834","4068","26246"
"20.02.2017 13:45 - 20.02.2017 14:00 (CET)","34112","3638","4070","26404"
"20.02.2017 14:00 - 20.02.2017 14:15 (CET)","33960","3415","4072","26473"
"20.02.2017 14:15 - 20.02.2017 14:30 (CET)","33847","3170","4073","26604"
"20.02.2017 14:30 - 20.02.2017 14:45 (CET)","33710","2905","4075","26730"
"20.02.2017 14:45 - 20.02.2017 15:00 (CET)","33593","2634","4077","26882"
"20.02.2017 15:00 - 20.02.2017 15:15 (CET)","33462","2355","4079","27028"
"20.02.2017 15:15 - 20.02.2017 15:30 (CET)","33335","2070","4080","27185"
"20.02.2017 15:30 - 20.02.2017 15:45 (CET)","33204","1784","4081","27339"
"20.02.2017 15:45 - 20.02.2017 16:00 (CET)","33064","1504","4080","27480"
"20.02.2017 16:00 - 20.02.2017 16:15 (CET)","32947","1236","4081","27630"
"20.02.2017 16:15 - 20.02.2017 16:30 (CET)","32774","964","4081","27729"
"20.02.2017 16:30 - 20.02.2017 16:45 (CET)","32618","708","4079","27831"
"20.02.2017 16:45 - 20.02.2017 17:00 (CET)","32490","481","4080","27929"
"20.02.2017 17:00 - 20.02.2017 17:15 (CET)","32402","297","4080","28025"
"20.02.2017 17:15 - 20.02.2017 17:30 (CET)","32319","150","4081","28088"
"20.02.2017 17:30 - 20.02.2017 17:45 (CET)","32290","58","4078","28154"
"20.02.2017 17:45 - 20.02.2017 18:00 (CET)","32315","16","4079","28220"
"20.02.2017 18:00 - 20.02.2017 18:15 (CET)","32365","10","4078","28277"
"20.02.2017 18:15 - 20.02.2017 18:30 (CET)","32428","9","4078","28341"
"20.02.2017 18:30 - 20.02.2017 18:45 (CET)","32492","8","4078","28406"
"20.02.2017 18:45 - 20.02.2017 19:00 (CET)","32568","8","4076","28484"
"20.02.2017 19:00 - 20.02.2017 19:15 (CET)","32622","0","4074","28548"
"20.02.2017 19:15 - 20.02.2017 19:30 (CET)","32618","0","4063","28555"
"20.02.2017 19:30 - 20.02.2017 19:45 (CET)","32621","0","4057","28564"
"20.02.2017 19:45 - 20.02.2017 20:00 (CET)","32628","0","4050","28578"
"20.02.2017 20:00 - 20.02.2017 20:15 (CET)","32504","0","4042","28462"
"20.02.2017 20:15 - 20.02.2017 20:30 (CET)","32450","0","4032","28418"
"20.02.2017 20:30 - 20.02.2017 20:45 (CET)","32402","0","4022","28380"
"20.02.2017 20:45 - 20.02.2017 21:00 (CET)","32355","0","4013","28342"
"20.02.2017 21:00 - 20.02.2017 21:15 (CET)","32292","0","3998","28294"
"20.02.2017 21:15 - 20.02.2017 21:30 (CET)","32193","0","3979","28214"
"20.02.2017 21:30 - 20.02.2017 21:45 (CET)","32099","0","3957","28142"
"20.02.2017 21:45 - 20.02.2017 22:00 (CET)","32018","0","3939","28079"
"20.02.2017 22:00 - 20.02.2017 22:15 (CET)","31923","0","3916","28007"
"20.02.2017 22:15 - 20.02.2017 22:30 (CET)","31744","0","3900","27844"
"20.02.2017 22:30 - 20.02.2017 22:45 (CET)","31565","0","3886","27679"
"20.02.2017 22:45 - 20.02.2017 23:00 (CET)","31389","0","3872","27517"
"20.02.2017 23:00 - 20.02.2017 23:15 (CET)","31194","0","3860","27334"
"20.02.2017 23:15 - 20.02.2017 23:30 (CET)","30994","0","3844","27150"
"20.02.2017 23:30 - 20.02.2017 23:45 (CET)","30805","0","3831","26974"
"20.02.2017 23:45 - 21.02.2017 00:00 (CET)","30615","0","3817","26798"
"21.02.2017 00:00 - 21.02.2017 00:15 (CET)","30400","0","3681","26719"
"21.02.2017 00:15 - 21.02.2017 00:30 (CET)","30216","0","3692","26524"
"21.02.2017 00:30 - 21.02.2017 00:45 (CET)","30038","0","3702","26336"
"21.02.2017 00:45 - 21.02.2017 01:00 (CET)","29867","0","3715","26152"
"21.02.2017 01:00 - 21.02.2017 01:15 (CET)","28265","0","3726","24539"
"21.02.2017 01:15 - 21.02.2017 01:30 (CET)","28245","0","3739","24506"
"21.02.2017 01:30 - 21.02.2017 01:45 (CET)","28051","0","3750","24301"
"21.02.2017 01:45 - 21.02.2017 02:00 (CET)","27815","0","3764","24051"
"21.02.2017 02:00 - 21.02.2017 02:15 (CET)","27600","0","3776","23824"
"21.02.2017 02:15 - 21.02.2017 02:30 (CET)","27526","0","3787","23739"
"21.02.2017 02:30 - 21.02.2017 02:45 (CET)","27245","0","3795","23450"
"21.02.2017 02:45 - 21.02.2017 03:00 (CET)","27282","0","3805","23477"
"21.02.2017 03:00 - 21.02.2017 03:15 (CET)","27245","0","3813","23432"
"21.02.2017 03:15 - 21.02.2017 03:30 (CET)","27058","0","3819","23239"
"21.02.2017 03:30 - 21.02.2017 03:45 (CET)","27046","0","3824","23222"
"21.02.2017 03:45 - 21.02.2017 04:00 (CET)","26921","0","3828","23093"
"21.02.2017 04:00 - 21.02.2017 04:15 (CET)","26775","0","3878","22897"
"21.02.2017 04:15 - 21.02.2017 04:30 (CET)","26618","0","3873","22745"
"21.02.2017 04:30 - 21.02.2017 04:45 (CET)","26580","0","3865","22715"
"21.02.2017 04:45 - 21.02.2017 05:00 (CET)","26503","0","3859","22644"
"21.02.2017 05:00 - 21.02.2017 05:15 (CET)","26443","0","3847","22596"
"21.02.2017 05:15 - 21.02.2017 05:30 (CET)","26339","0","3835","22504"
"21.02.2017 05:30 - 21.02.2017 05:45 (CET)","26294","0","3825","22469"
"21.02.2017 05:45 - 21.02.2017 06:00 (CET)","26258","0","3810","22448"
"21.02.2017 06:00 - 21.02.2017 06:15 (CET)","26207","0","3798","22409"
"21.02.2017 06:15 - 21.02.2017 06:30 (CET)","26142","0","3779","22363"
"21.02.2017 06:30 - 21.02.2017 06:45 (CET)","26093","1","3765","22327"
"21.02.2017 06:45 - 21.02.2017 07:00 (CET)","25981","2","3751","22228"
"21.02.2017 07:00 - 21.02.2017 07:15 (CET)","26015","16","3739","22260"
"21.02.2017 07:15 - 21.02.2017 07:30 (CET)","26083","44","3760","22279"
"21.02.2017 07:30 - 21.02.2017 07:45 (CET)","26249","113","3774","22362"
"21.02.2017 07:45 - 21.02.2017 08:00 (CET)","26354","227","3792","22335"
"21.02.2017 08:00 - 21.02.2017 08:15 (CET)","26566","399","3810","22357"
"21.02.2017 08:15 - 21.02.2017 08:30 (CET)","26826","623","3826","22377"
"21.02.2017 08:30 - 21.02.2017 08:45 (CET)","27204","877","3840","22487"
"21.02.2017 08:45 - 21.02.2017 09:00 (CET)","27561","1144","3854","22563"
"21.02.2017 09:00 - 21.02.2017 09:15 (CET)","28457","1428","3869","23160"
"21.02.2017 09:15 - 21.02.2017 09:30 (CET)","28806","1726","3870","23210"
"21.02.2017 09:30 - 21.02.2017 09:45 (CET)","29157","2034","3875","23248"
"21.02.2017 09:45 - 21.02.2017 10:00 (CET)","29513","2346","3878","23289"
"21.02.2017 10:00 - 21.02.2017 10:15 (CET)","29890","2658","3840","23392"
"21.02.2017 10:15 - 21.02.2017 10:30 (CET)","30330","2974","3821","23535"
"21.02.2017 10:30 - 21.02.2017 10:45 (CET)","30775","3287","3806","23682"
"21.02.2017 10:45 - 21.02.2017 11:00 (CET)","31205","3587","3783","23835"
"21.02.2017 11:00 - 21.02.2017 11:15 (CET)","31581","3864","3767","23950"
"21.02.2017 11:15 - 21.02.2017 11:30 (CET)","31887","4113","3752","24022"
"21.02.2017 11:30 - 21.02.2017 11:45 (CET)","32153","4329","3739","24085"
"21.02.2017 11:45 - 21.02.2017 12:00 (CET)","32415","4541","3722","24152"
"21.02.2017 12:00 - 21.02.2017 12:15 (CET)","32622","4725","3706","24191"
"21.02.2017 12:15 - 21.02.2017 12:30 (CET)","32731","4848","3683","24200"
"21.02.2017 12:30 - 21.02.2017 12:45 (CET)","32781","4912","3662","24207"
"21.02.2017 12:45 - 21.02.2017 13:00 (CET)","32812","4964","3641","24207"
"21.02.2017 13:00 - 21.02.2017 13:15 (CET)","32764","4988","3620","24156"
"21.02.2017 13:15 - 21.02.2017 13:30 (CET)","32411","4972","3559","23880"
"21.02.2017 13:30 - 21.02.2017 13:45 (CET)","32017","4915","3499","23603"
"21.02.2017 13:45 - 21.02.2017 14:00 (CET)","31616","4835","3440","23341"
"21.02.2017 14:00 - 21.02.2017 14:15 (CET)","31115","4717","3376","23022"
"21.02.2017 14:15 - 21.02.2017 14:30 (CET)","30527","4539","3298","22690"
"21.02.2017 14:30 - 21.02.2017 14:45 (CET)","29856","4293","3218","22345"
"21.02.2017 14:45 - 21.02.2017 15:00 (CET)","29133","4007","3134","21992"
"21.02.2017 15:00 - 21.02.2017 15:15 (CET)","28376","3694","3050","21632"
"21.02.2017 15:15 - 21.02.2017 15:30 (CET)","27525","3337","2957","21231"
"21.02.2017 15:30 - 21.02.2017 15:45 (CET)","26649","2934","2861","20854"
"21.02.2017 15:45 - 21.02.2017 16:00 (CET)","25756","2524","2766","20466"
"21.02.2017 16:00 - 21.02.2017 16:15 (CET)","24878","2105","2677","20096"
"21.02.2017 16:15 - 21.02.2017 16:30 (CET)","24078","1663","2665","19750"
"21.02.2017 16:30 - 21.02.2017 16:45 (CET)","23278","1218","2665","19395"
"21.02.2017 16:45 - 21.02.2017 17:00 (CET)","22519","808","2657","19054"
"21.02.2017 17:00 - 21.02.2017 17:15 (CET)","21856","464","2662","18730"
"21.02.2017 17:15 - 21.02.2017 17:30 (CET)","21410","214","2711","18485"
"21.02.2017 17:30 - 21.02.2017 17:45 (CET)","21074","75","2765","18234"
"21.02.2017 17:45 - 21.02.2017 18:00 (CET)","20810","21","2812","17977"
"21.02.2017 18:00 - 21.02.2017 18:15 (CET)","20608","9","2866","17733"
"21.02.2017 18:15 - 21.02.2017 18:30 (CET)","20437","8","2905","17524"
"21.02.2017 18:30 - 21.02.2017 18:45 (CET)","20263","8","2945","17310"
"21.02.2017 18:45 - 21.02.2017 19:00 (CET)","20064","8","2989","17067"
"21.02.2017 19:00 - 21.02.2017 19:15 (CET)","19887","0","3035","16852"
"21.02.2017 19:15 - 21.02.2017 19:30 (CET)","19840","0","3103","16737"
"21.02.2017 19:30 - 21.02.2017 19:45 (CET)","19809","0","3172","16637"
"21.02.2017 19:45 - 21.02.2017 20:00 (CET)","19773","0","3238","16535"
"21.02.2017 20:00 - 21.02.2017 20:15 (CET)","19766","0","3304","16462"
"21.02.2017 20:15 - 21.02.2017 20:30 (CET)","19765","0","3361","16404"
"21.02.2017 20:30 - 21.02.2017 20:45 (CET)","19756","0","3416","16340"
"21.02.2017 20:45 - 21.02.2017 21:00 (CET)","19747","0","3473","16274"
"21.02.2017 21:00 - 21.02.2017 21:15 (CET)","19756","0","3529","16227"
"21.02.2017 21:15 - 21.02.2017 21:30 (CET)","19824","0","3597","16227"
"21.02.2017 21:30 - 21.02.2017 21:45 (CET)","19931","0","3659","16272"
"21.02.2017 21:45 - 21.02.2017 22:00 (CET)","20052","0","3720","16332"
"21.02.2017 22:00 - 21.02.2017 22:15 (CET)","20206","0","3779","16427"
"21.02.2017 22:15 - 21.02.2017 22:30 (CET)","20541","0","3819","16722"
"21.02.2017 22:30 - 21.02.2017 22:45 (CET)","20870","0","3857","17013"
"21.02.2017 22:45 - 21.02.2017 23:00 (CET)","21180","0","3891","17289"
"21.02.2017 23:00 - 21.02.2017 23:15 (CET)","21513","0","3919","17594"
"21.02.2017 23:15 - 21.02.2017 23:30 (CET)","21886","0","3939","17947"
"21.02.2017 23:30 - 21.02.2017 23:45 (CET)","22269","0","3953","18316"
"21.02.2017 23:45 - 22.02.2017 00:00 (CET)","22667","0","3964","18703"
"22.02.2017 00:00 - 22.02.2017 00:15 (CET)","24277","0","3987","20290"
"22.02.2017 00:15 - 22.02.2017 00:30 (CET)","24713","0","3999","20714"
"22.02.2017 00:30 - 22.02.2017 00:45 (CET)","25166","0","4010","21156"
"22.02.2017 00:45 - 22.02.2017 01:00 (CET)","25642","0","4019","21623"
"22.02.2017 01:00 - 22.02.2017 01:15 (CET)","25735","0","4029","21706"
"22.02.2017 01:15 - 22.02.2017 01:30 (CET)","26105","0","4030","22075"
"22.02.2017 01:30 - 22.02.2017 01:45 (CET)","26682","0","4031","22651"
"22.02.2017 01:45 - 22.02.2017 02:00 (CET)","27172","0","4033","23139"
"22.02.2017 02:00 - 22.02.2017 02:15 (CET)","27876","0","4037","23839"
"22.02.2017 02:15 - 22.02.2017 02:30 (CET)","28435","0","4039","24396"
"22.02.2017 02:30 - 22.02.2017 02:45 (CET)","29161","0","4043","25118"
"22.02.2017 02:45 - 22.02.2017 03:00 (CET)","29690","0","4044","25646"
"22.02.2017 03:00 - 22.02.2017 03:15 (CET)","30105","0","4044","26061"
"22.02.2017 03:15 - 22.02.2017 03:30 (CET)","30703","0","4052","26651"
"22.02.2017 03:30 - 22.02.2017 03:45 (CET)","31311","0","4056","27255"
"22.02.2017 03:45 - 22.02.2017 04:00 (CET)","32281","0","4061","28220"
"22.02.2017 04:00 - 22.02.2017 04:15 (CET)","32838","0","4080","28758"
"22.02.2017 04:15 - 22.02.2017 04:30 (CET)","33258","0","4084","29174"
"22.02.2017 04:30 - 22.02.2017 04:45 (CET)","33643","0","4086","29557"
"22.02.2017 04:45 - 22.02.2017 05:00 (CET)","33942","0","4087","29855"
"22.02.2017 05:00 - 22.02.2017 05:15 (CET)","34311","0","4088","30223"
"22.02.2017 05:15 - 22.02.2017 05:30 (CET)","34539","0","4089","30450"
"22.02.2017 05:30 - 22.02.2017 05:45 (CET)","34755","0","4089","30666"
"22.02.2017 05:45 - 22.02.2017 06:00 (CET)","34953","0","4088","30865"
"22.02.2017 06:00 - 22.02.2017 06:15 (CET)","35125","0","4088","31037"
"22.02.2017 06:15 - 22.02.2017 06:30 (CET)","35323","0","4087","31236"
"22.02.2017 06:30 - 22.02.2017 06:45 (CET)","35527","0","4086","31441"
"22.02.2017 06:45 - 22.02.2017 07:00 (CET)","35754","1","4085","31668"
"22.02.2017 07:00 - 22.02.2017 07:15 (CET)","36006","19","4084","31903"
"22.02.2017 07:15 - 22.02.2017 07:30 (CET)","36179","52","4088","32039"
"22.02.2017 07:30 - 22.02.2017 07:45 (CET)","36333","131","4088","32114"
"22.02.2017 07:45 - 22.02.2017 08:00 (CET)","36555","245","4088","32222"
"22.02.2017 08:00 - 22.02.2017 08:15 (CET)","36760","403","4089","32268"
"22.02.2017 08:15 - 22.02.2017 08:30 (CET)","37011","586","4088","32337"
"22.02.2017 08:30 - 22.02.2017 08:45 (CET)","37266","784","4087","32395"
"22.02.2017 08:45 - 22.02.2017 09:00 (CET)","37572","996","4087","32489"
"22.02.2017 09:00 - 22.02.2017 09:15 (CET)","38082","1220","4085","32777"
"22.02.2017 09:15 - 22.02.2017 09:30 (CET)","38320","1459","4084","32777"
"22.02.2017 09:30 - 22.02.2017 09:45 (CET)","38568","1706","4081","32781"
"22.02.2017 09:45 - 22.02.2017 10:00 (CET)","38781","1945","4076","32760"
"22.02.2017 10:00 - 22.02.2017 10:15 (CET)","38987","2183","4076","32728"
"22.02.2017 10:15 - 22.02.2017 10:30 (CET)","39158","2411","4075","32672"
"22.02.2017 10:30 - 22.02.2017 10:45 (CET)","39314","2622","4078","32614"
"22.02.2017 10:45 - 22.02.2017 11:00 (CET)","39457","2818","4077","32562"
"22.02.2017 11:00 - 22.02.2017 11:15 (CET)","39587","2996","4077","32514"
"22.02.2017 11:15 - 22.02.2017 11:30 (CET)","39712","3155","4078","32479"
"22.02.2017 11:30 - 22.02.2017 11:45 (CET)","39825","3295","4081","32449"
"22.02.2017 11:45 - 22.02.2017 12:00 (CET)","39934","3422","4083","32429"
"22.02.2017 12:00 - 22.02.2017 12:15 (CET)","40010","3518","4083","32409"
"22.02.2017 12:15 - 22.02.2017 12:30 (CET)","40048","3571","4086","32391"
"22.02.2017 12:30 - 22.02.2017 12:45 (CET)","40042","3581","4090","32371"
"22.02.2017 12:45 - 22.02.2017 13:00 (CET)","40020","3574","4093","32353"
"22.02.2017 13:00 - 22.02.2017 13:15 (CET)","39985","3532","4097","32356"
"22.02.2017 13:15 - 22.02.2017 13:30 (CET)","39899","3480","4096","32323"
"22.02.2017 13:30 - 22.02.2017 13:45 (CET)","39795","3413","4095","32287"
"22.02.2017 13:45 - 22.02.2017 14:00 (CET)","39655","3312","4097","32246"
"22.02.2017 14:00 - 22.02.2017 14:15 (CET)","39492","3192","4099","32201"
"22.02.2017 14:15 - 22.02.2017 14:30 (CET)","39279","3048","4097","32134"
"22.02.2017 14:30 - 22.02.2017 14:45 (CET)","39037","2876","4097","32064"
"22.02.2017 14:45 - 22.02.2017 15:00 (CET)","38761","2673","4097","31991"
"22.02.2017 15:00 - 22.02.2017 15:15 (CET)","38466","2456","4095","31915"
"22.02.2017 15:15 - 22.02.2017 15:30 (CET)","38135","2213","4095","31827"
"22.02.2017 15:30 - 22.02.2017 15:45 (CET)","37775","1946","4095","31734"
"22.02.2017 15:45 - 22.02.2017 16:00 (CET)","37376","1674","4096","31606"
"22.02.2017 16:00 - 22.02.2017 16:15 (CET)","36982","1409","4096","31477"
"22.02.2017 16:15 - 22.02.2017 16:30 (CET)","36566","1127","4097","31342"
"22.02.2017 16:30 - 22.02.2017 16:45 (CET)","36149","844","4096","31209"
"22.02.2017 16:45 - 22.02.2017 17:00 (CET)","35748","583","4096","31069"
"22.02.2017 17:00 - 22.02.2017 17:15 (CET)","35397","358","4095","30944"
"22.02.2017 17:15 - 22.02.2017 17:30 (CET)","35120","185","4096","30839"
"22.02.2017 17:30 - 22.02.2017 17:45 (CET)","34912","76","4097","30739"
"22.02.2017 17:45 - 22.02.2017 18:00 (CET)","34762","23","4097","30642"
"22.02.2017 18:00 - 22.02.2017 18:15 (CET)","34646","10","4096","30540"
"22.02.2017 18:15 - 22.02.2017 18:30 (CET)","34540","9","4096","30435"
"22.02.2017 18:30 - 22.02.2017 18:45 (CET)","34444","8","4096","30340"
"22.02.2017 18:45 - 22.02.2017 19:00 (CET)","34368","8","4096","30264"
"22.02.2017 19:00 - 22.02.2017 19:15 (CET)","34273","0","4094","30179"
"22.02.2017 19:15 - 22.02.2017 19:30 (CET)","34248","0","4094","30154"
"22.02.2017 19:30 - 22.02.2017 19:45 (CET)","34224","0","4094","30130"
"22.02.2017 19:45 - 22.02.2017 20:00 (CET)","34202","0","4093","30109"
"22.02.2017 20:00 - 22.02.2017 20:15 (CET)","34124","0","4093","30031"
"22.02.2017 20:15 - 22.02.2017 20:30 (CET)","34104","0","4093","30011"
"22.02.2017 20:30 - 22.02.2017 20:45 (CET)","34085","0","4093","29992"
"22.02.2017 20:45 - 22.02.2017 21:00 (CET)","34060","0","4092","29968"
"22.02.2017 21:00 - 22.02.2017 21:15 (CET)","34030","0","4092","29938"
"22.02.2017 21:15 - 22.02.2017 21:30 (CET)","33986","0","4091","29895"
"22.02.2017 21:30 - 22.02.2017 21:45 (CET)","33946","0","4091","29855"
"22.02.2017 21:45 - 22.02.2017 22:00 (CET)","33907","0","4091","29816"
"22.02.2017 22:00 - 22.02.2017 22:15 (CET)","33857","0","4092","29765"
"22.02.2017 22:15 - 22.02.2017 22:30 (CET)","33768","0","4091","29677"
"22.02.2017 22:30 - 22.02.2017 22:45 (CET)","33679","0","4091","29588"
"22.02.2017 22:45 - 22.02.2017 23:00 (CET)","33595","0","4092","29503"
"22.02.2017 23:00 - 22.02.2017 23:15 (CET)","33503","0","4091","29412"
"22.02.2017 23:15 - 22.02.2017 23:30 (CET)","33372","0","4091","29281"
"22.02.2017 23:30 - 22.02.2017 23:45 (CET)","33243","0","4089","29154"
"22.02.2017 23:45 - 23.02.2017 00:00 (CET)","33102","0","4090","29012"
"23.02.2017 00:00 - 23.02.2017 00:15 (CET)","35427","0","4109","31318"
"23.02.2017 00:15 - 23.02.2017 00:30 (CET)","35310","0","4108","31202"
"23.02.2017 00:30 - 23.02.2017 00:45 (CET)","35190","0","4108","31082"
"23.02.2017 00:45 - 23.02.2017 01:00 (CET)","35058","0","4109","30949"
"23.02.2017 01:00 - 23.02.2017 01:15 (CET)","34426","0","4109","30317"
"23.02.2017 01:15 - 23.02.2017 01:30 (CET)","34143","0","4098","30045"
"23.02.2017 01:30 - 23.02.2017 01:45 (CET)","33847","0","4081","29766"
"23.02.2017 01:45 - 23.02.2017 02:00 (CET)","33494","0","4065","29429"
"23.02.2017 02:00 - 23.02.2017 02:15 (CET)","33205","0","4044","29161"
"23.02.2017 02:15 - 23.02.2017 02:30 (CET)","32763","0","4016","28747"
"23.02.2017 02:30 - 23.02.2017 02:45 (CET)","32415","0","3985","28430"
"23.02.2017 02:45 - 23.02.2017 03:00 (CET)","32093","0","3955","28138"
"23.02.2017 03:00 - 23.02.2017 03:15 (CET)","31683","0","3918","27765"
"23.02.2017 03:15 - 23.02.2017 03:30 (CET)","31150","0","3859","27291"
"23.02.2017 03:30 - 23.02.2017 03:45 (CET)","30655","0","3788","26867"
"23.02.2017 03:45 - 23.02.2017 04:00 (CET)","30075","0","3710","26365"
"23.02.2017 04:00 - 23.02.2017 04:15 (CET)","29442","0","3653","25789"
"23.02.2017 04:15 - 23.02.2017 04:30 (CET)","28784","0","3519","25265"
"23.02.2017 04:30 - 23.02.2017 04:45 (CET)","28025","0","3360","24665"
"23.02.2017 04:45 - 23.02.2017 05:00 (CET)","27216","0","3200","24016"
"23.02.2017 05:00 - 23.02.2017 05:15 (CET)","26387","0","3034","23353"
"23.02.2017 05:15 - 23.02.2017 05:30 (CET)","25491","0","2850","22641"
"23.02.2017 05:30 - 23.02.2017 05:45 (CET)","24634","0","2645","21989"
"23.02.2017 05:45 - 23.02.2017 06:00 (CET)","23867","0","2439","21428"
"23.02.2017 06:00 - 23.02.2017 06:15 (CET)","23044","0","2229","20815"
"23.02.2017 06:15 - 23.02.2017 06:30 (CET)","22244","0","2046","20198"
"23.02.2017 06:30 - 23.02.2017 06:45 (CET)","21398","1","1875","19522"
"23.02.2017 06:45 - 23.02.2017 07:00 (CET)","20616","1","1701","18914"
"23.02.2017 07:00 - 23.02.2017 07:15 (CET)","19873","32","1545","18296"
"23.02.2017 07:15 - 23.02.2017 07:30 (CET)","19296","122","1457","17717"
"23.02.2017 07:30 - 23.02.2017 07:45 (CET)","18834","348","1378","17108"
"23.02.2017 07:45 - 23.02.2017 08:00 (CET)","18565","705","1299","16561"
"23.02.2017 08:00 - 23.02.2017 08:15 (CET)","18394","1169","1228","15997"
"23.02.2017 08:15 - 23.02.2017 08:30 (CET)","18578","1695","1199","15684"
"23.02.2017 08:30 - 23.02.2017 08:45 (CET)","18813","2279","1181","15353"
"23.02.2017 08:45 - 23.02.2017 09:00 (CET)","19290","2881","1168","15241"
"23.02.2017 09:00 - 23.02.2017 09:15 (CET)","19828","3505","1161","15162"
"23.02.2017 09:15 - 23.02.2017 09:30 (CET)","20430","4126","1226","15078"
"23.02.2017 09:30 - 23.02.2017 09:45 (CET)","20995","4735","1308","14952"
"23.02.2017 09:45 - 23.02.2017 10:00 (CET)","21572","5351","1394","14827"
"23.02.2017 10:00 - 23.02.2017 10:15 (CET)","22136","5936","1459","14741"
"23.02.2017 10:15 - 23.02.2017 10:30 (CET)","22936","6467","1624","14845"
"23.02.2017 10:30 - 23.02.2017 10:45 (CET)","23693","6928","1777","14988"
"23.02.2017 10:45 - 23.02.2017 11:00 (CET)","24381","7342","1937","15102"
"23.02.2017 11:00 - 23.02.2017 11:15 (CET)","25239","7700","2102","15437"
"23.02.2017 11:15 - 23.02.2017 11:30 (CET)","26306","8014","2300","15992"
"23.02.2017 11:30 - 23.02.2017 11:45 (CET)","27313","8261","2503","16549"
"23.02.2017 11:45 - 23.02.2017 12:00 (CET)","28259","8466","2707","17086"
"23.02.2017 12:00 - 23.02.2017 12:15 (CET)","29135","8621","2891","17623"
"23.02.2017 12:15 - 23.02.2017 12:30 (CET)","29931","8711","3047","18173"
"23.02.2017 12:30 - 23.02.2017 12:45 (CET)","30667","8738","3198","18731"
"23.02.2017 12:45 - 23.02.2017 13:00 (CET)","31355","8720","3351","19284"
