"MTU (CET)","Generation - Sum [MW] (D) / BZN|DE-AT-LU","Generation - Solar  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] (D) / BZN|DE-AT-LU"
"01.01.2015 00:00 - 01.01.2015 00:15 (CET)","8104","0","601","7503"
"01.01.2015 00:15 - 01.01.2015 00:30 (CET)","8187","0","599","7588"
"01.01.2015 00:30 - 01.01.2015 00:45 (CET)","8280","0","599","7681"
"01.01.2015 00:45 - 01.01.2015 01:00 (CET)","8363","0","598","7765"
"01.01.2015 01:00 - 01.01.2015 01:15 (CET)","8655","0","599","8056"
"01.01.2015 01:15 - 01.01.2015 01:30 (CET)","8724","0","598","8126"
"01.01.2015 01:30 - 01.01.2015 01:45 (CET)","8801","0","598","8203"
"01.01.2015 01:45 - 01.01.2015 02:00 (CET)","8860","0","598","8262"
"01.01.2015 02:00 - 01.01.2015 02:15 (CET)","8888","0","598","8290"
"01.01.2015 02:15 - 01.01.2015 02:30 (CET)","8921","0","599","8322"
"01.01.2015 02:30 - 01.01.2015 02:45 (CET)","8932","0","600","8332"
"01.01.2015 02:45 - 01.01.2015 03:00 (CET)","8956","0","601","8355"
"01.01.2015 03:00 - 01.01.2015 03:15 (CET)","8972","0","602","8370"
"01.01.2015 03:15 - 01.01.2015 03:30 (CET)","9030","0","603","8427"
"01.01.2015 03:30 - 01.01.2015 03:45 (CET)","9067","0","604","8463"
"01.01.2015 03:45 - 01.01.2015 04:00 (CET)","9107","0","606","8501"
"01.01.2015 04:00 - 01.01.2015 04:15 (CET)","9141","0","603","8538"
"01.01.2015 04:15 - 01.01.2015 04:30 (CET)","9195","0","603","8592"
"01.01.2015 04:30 - 01.01.2015 04:45 (CET)","9257","0","607","8650"
"01.01.2015 04:45 - 01.01.2015 05:00 (CET)","9313","0","608","8705"
"01.01.2015 05:00 - 01.01.2015 05:15 (CET)","9364","0","610","8754"
"01.01.2015 05:15 - 01.01.2015 05:30 (CET)","9417","0","610","8807"
"01.01.2015 05:30 - 01.01.2015 05:45 (CET)","9466","0","612","8854"
"01.01.2015 05:45 - 01.01.2015 06:00 (CET)","9501","0","613","8888"
"01.01.2015 06:00 - 01.01.2015 06:15 (CET)","9584","0","613","8971"
"01.01.2015 06:15 - 01.01.2015 06:30 (CET)","9655","0","613","9042"
"01.01.2015 06:30 - 01.01.2015 06:45 (CET)","9738","0","614","9124"
