"MTU (CET)","Generation - Sum [MW] (D) / BZN|DE-AT-LU","Generation - Solar  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] (D) / BZN|DE-AT-LU"
"01.01.2015 06:45 - 01.01.2015 07:00 (CET)","9830","0","614","9216"
"01.01.2015 07:00 - 01.01.2015 07:15 (CET)","9916","0","615","9301"
"01.01.2015 07:15 - 01.01.2015 07:30 (CET)","10019","0","615","9404"
"01.01.2015 07:30 - 01.01.2015 07:45 (CET)","10145","0","615","9530"
"01.01.2015 07:45 - 01.01.2015 08:00 (CET)","10301","0","616","9685"
"01.01.2015 08:00 - 01.01.2015 08:15 (CET)","10408","3","617","9788"
"01.01.2015 08:15 - 01.01.2015 08:30 (CET)","10504","11","617","9876"
"01.01.2015 08:30 - 01.01.2015 08:45 (CET)","10606","40","618","9948"
"01.01.2015 08:45 - 01.01.2015 09:00 (CET)","10823","161","619","10043"
"01.01.2015 09:00 - 01.01.2015 09:15 (CET)","11080","335","619","10126"
"01.01.2015 09:15 - 01.01.2015 09:30 (CET)","11369","542","620","10207"
"01.01.2015 09:30 - 01.01.2015 09:45 (CET)","11703","762","620","10321"
"01.01.2015 09:45 - 01.01.2015 10:00 (CET)","12098","1035","622","10441"
"01.01.2015 10:00 - 01.01.2015 10:15 (CET)","12464","1324","623","10517"
"01.01.2015 10:15 - 01.01.2015 10:30 (CET)","12792","1609","623","10560"
"01.01.2015 10:30 - 01.01.2015 10:45 (CET)","13114","1893","623","10598"
"01.01.2015 10:45 - 01.01.2015 11:00 (CET)","13389","2135","624","10630"
"01.01.2015 11:00 - 01.01.2015 11:15 (CET)","13705","2355","624","10726"
"01.01.2015 11:15 - 01.01.2015 11:30 (CET)","13934","2556","625","10753"
"01.01.2015 11:30 - 01.01.2015 11:45 (CET)","14154","2753","625","10776"
"01.01.2015 11:45 - 01.01.2015 12:00 (CET)","14302","2874","624","10804"
"01.01.2015 12:00 - 01.01.2015 12:15 (CET)","14406","2969","629","10808"
"01.01.2015 12:15 - 01.01.2015 12:30 (CET)","14505","3030","629","10846"
"01.01.2015 12:30 - 01.01.2015 12:45 (CET)","14598","3061","630","10907"
"01.01.2015 12:45 - 01.01.2015 13:00 (CET)","14612","3018","629","10965"
"01.01.2015 13:00 - 01.01.2015 13:15 (CET)","14594","2953","628","11013"
"01.01.2015 13:15 - 01.01.2015 13:30 (CET)","14531","2857","628","11046"
"01.01.2015 13:30 - 01.01.2015 13:45 (CET)","14442","2737","628","11077"
"01.01.2015 13:45 - 01.01.2015 14:00 (CET)","14264","2534","628","11102"
"01.01.2015 14:00 - 01.01.2015 14:15 (CET)","14101","2312","629","11160"
"01.01.2015 14:15 - 01.01.2015 14:30 (CET)","13922","2073","630","11219"
"01.01.2015 14:30 - 01.01.2015 14:45 (CET)","13718","1815","629","11274"
"01.01.2015 14:45 - 01.01.2015 15:00 (CET)","13444","1496","629","11319"
"01.01.2015 15:00 - 01.01.2015 15:15 (CET)","13245","1174","627","11444"
"01.01.2015 15:15 - 01.01.2015 15:30 (CET)","13098","856","628","11614"
"01.01.2015 15:30 - 01.01.2015 15:45 (CET)","12971","581","628","11762"
"01.01.2015 15:45 - 01.01.2015 16:00 (CET)","12936","384","629","11923"
"01.01.2015 16:00 - 01.01.2015 16:15 (CET)","12903","233","629","12041"
"01.01.2015 16:15 - 01.01.2015 16:30 (CET)","12936","118","630","12188"
"01.01.2015 16:30 - 01.01.2015 16:45 (CET)","12995","25","630","12340"
"01.01.2015 16:45 - 01.01.2015 17:00 (CET)","13134","10","630","12494"
"01.01.2015 17:00 - 01.01.2015 17:15 (CET)","13266","0","631","12635"
"01.01.2015 17:15 - 01.01.2015 17:30 (CET)","13440","0","631","12809"
"01.01.2015 17:30 - 01.01.2015 17:45 (CET)","13626","0","630","12996"
"01.01.2015 17:45 - 01.01.2015 18:00 (CET)","13828","0","630","13198"
"01.01.2015 18:00 - 01.01.2015 18:15 (CET)","14018","0","630","13388"
"01.01.2015 18:15 - 01.01.2015 18:30 (CET)","14218","0","630","13588"
"01.01.2015 18:30 - 01.01.2015 18:45 (CET)","14397","0","630","13767"
"01.01.2015 18:45 - 01.01.2015 19:00 (CET)","14620","0","629","13991"
"01.01.2015 19:00 - 01.01.2015 19:15 (CET)","14851","0","631","14220"
"01.01.2015 19:15 - 01.01.2015 19:30 (CET)","15116","0","631","14485"
"01.01.2015 19:30 - 01.01.2015 19:45 (CET)","15386","0","631","14755"
"01.01.2015 19:45 - 01.01.2015 20:00 (CET)","15661","0","631","15030"
"01.01.2015 20:00 - 01.01.2015 20:15 (CET)","15956","0","631","15325"
"01.01.2015 20:15 - 01.01.2015 20:30 (CET)","16274","0","630","15644"
"01.01.2015 20:30 - 01.01.2015 20:45 (CET)","16650","0","629","16021"
"01.01.2015 20:45 - 01.01.2015 21:00 (CET)","17051","0","628","16423"
"01.01.2015 21:00 - 01.01.2015 21:15 (CET)","17343","0","628","16715"
"01.01.2015 21:15 - 01.01.2015 21:30 (CET)","17664","0","629","17035"
"01.01.2015 21:30 - 01.01.2015 21:45 (CET)","17942","0","630","17312"
"01.01.2015 21:45 - 01.01.2015 22:00 (CET)","18286","0","631","17655"
"01.01.2015 22:00 - 01.01.2015 22:15 (CET)","18623","0","632","17991"
"01.01.2015 22:15 - 01.01.2015 22:30 (CET)","18977","0","627","18350"
"01.01.2015 22:30 - 01.01.2015 22:45 (CET)","19368","0","623","18745"
"01.01.2015 22:45 - 01.01.2015 23:00 (CET)","19751","0","619","19132"
"01.01.2015 23:00 - 01.01.2015 23:15 (CET)","20041","0","614","19427"
"01.01.2015 23:15 - 01.01.2015 23:30 (CET)","20348","0","618","19730"
"01.01.2015 23:30 - 01.01.2015 23:45 (CET)","20665","0","622","20043"
"01.01.2015 23:45 - 02.01.2015 00:00 (CET)","20819","0","626","20193"
"02.01.2015 00:00 - 02.01.2015 00:15 (CET)","22425","0","628","21797"
"02.01.2015 00:15 - 02.01.2015 00:30 (CET)","22670","0","625","22045"
"02.01.2015 00:30 - 02.01.2015 00:45 (CET)","22936","0","622","22314"
"02.01.2015 00:45 - 02.01.2015 01:00 (CET)","23139","0","617","22522"
"02.01.2015 01:00 - 02.01.2015 01:15 (CET)","24038","0","614","23424"
"02.01.2015 01:15 - 02.01.2015 01:30 (CET)","24271","0","614","23657"
"02.01.2015 01:30 - 02.01.2015 01:45 (CET)","24526","0","615","23911"
"02.01.2015 01:45 - 02.01.2015 02:00 (CET)","24774","0","614","24160"
"02.01.2015 02:00 - 02.01.2015 02:15 (CET)","24980","0","616","24364"
"02.01.2015 02:15 - 02.01.2015 02:30 (CET)","25151","0","617","24534"
"02.01.2015 02:30 - 02.01.2015 02:45 (CET)","25338","0","619","24719"
"02.01.2015 02:45 - 02.01.2015 03:00 (CET)","25537","0","620","24917"
"02.01.2015 03:00 - 02.01.2015 03:15 (CET)","25713","0","621","25092"
"02.01.2015 03:15 - 02.01.2015 03:30 (CET)","25886","0","623","25263"
"02.01.2015 03:30 - 02.01.2015 03:45 (CET)","26078","0","626","25452"
"02.01.2015 03:45 - 02.01.2015 04:00 (CET)","26269","0","629","25640"
"02.01.2015 04:00 - 02.01.2015 04:15 (CET)","26408","0","576","25832"
"02.01.2015 04:15 - 02.01.2015 04:30 (CET)","26555","0","580","25975"
"02.01.2015 04:30 - 02.01.2015 04:45 (CET)","26721","0","585","26136"
"02.01.2015 04:45 - 02.01.2015 05:00 (CET)","26880","0","589","26291"
"02.01.2015 05:00 - 02.01.2015 05:15 (CET)","27012","0","592","26420"
"02.01.2015 05:15 - 02.01.2015 05:30 (CET)","27128","0","595","26533"
"02.01.2015 05:30 - 02.01.2015 05:45 (CET)","27259","0","598","26661"
"02.01.2015 05:45 - 02.01.2015 06:00 (CET)","27381","0","601","26780"
"02.01.2015 06:00 - 02.01.2015 06:15 (CET)","27453","0","603","26850"
"02.01.2015 06:15 - 02.01.2015 06:30 (CET)","27496","0","605","26891"
"02.01.2015 06:30 - 02.01.2015 06:45 (CET)","27522","0","607","26915"
"02.01.2015 06:45 - 02.01.2015 07:00 (CET)","27529","0","609","26920"
"02.01.2015 07:00 - 02.01.2015 07:15 (CET)","27537","0","611","26926"
"02.01.2015 07:15 - 02.01.2015 07:30 (CET)","27538","0","612","26926"
"02.01.2015 07:30 - 02.01.2015 07:45 (CET)","27539","0","613","26926"
"02.01.2015 07:45 - 02.01.2015 08:00 (CET)","27536","0","615","26921"
"02.01.2015 08:00 - 02.01.2015 08:15 (CET)","27535","6","616","26913"
"02.01.2015 08:15 - 02.01.2015 08:30 (CET)","27547","20","618","26909"
"02.01.2015 08:30 - 02.01.2015 08:45 (CET)","27583","63","619","26901"
"02.01.2015 08:45 - 02.01.2015 09:00 (CET)","27687","166","620","26901"
"02.01.2015 09:00 - 02.01.2015 09:15 (CET)","27825","289","621","26915"
"02.01.2015 09:15 - 02.01.2015 09:30 (CET)","27915","408","621","26886"
"02.01.2015 09:30 - 02.01.2015 09:45 (CET)","27981","530","622","26829"
"02.01.2015 09:45 - 02.01.2015 10:00 (CET)","28061","656","623","26782"
"02.01.2015 10:00 - 02.01.2015 10:15 (CET)","28143","775","623","26745"
"02.01.2015 10:15 - 02.01.2015 10:30 (CET)","28232","896","624","26712"
"02.01.2015 10:30 - 02.01.2015 10:45 (CET)","28299","1012","626","26661"
"02.01.2015 10:45 - 02.01.2015 11:00 (CET)","28369","1123","626","26620"
"02.01.2015 11:00 - 02.01.2015 11:15 (CET)","28415","1226","627","26562"
"02.01.2015 11:15 - 02.01.2015 11:30 (CET)","28467","1321","627","26519"
"02.01.2015 11:30 - 02.01.2015 11:45 (CET)","28465","1401","627","26437"
"02.01.2015 11:45 - 02.01.2015 12:00 (CET)","28420","1442","628","26350"
"02.01.2015 12:00 - 02.01.2015 12:15 (CET)","28445","1471","634","26340"
"02.01.2015 12:15 - 02.01.2015 12:30 (CET)","28543","1477","634","26432"
"02.01.2015 12:30 - 02.01.2015 12:45 (CET)","28410","1460","634","26316"
"02.01.2015 12:45 - 02.01.2015 13:00 (CET)","28388","1401","634","26353"
"02.01.2015 13:00 - 02.01.2015 13:15 (CET)","28307","1335","635","26337"
"02.01.2015 13:15 - 02.01.2015 13:30 (CET)","28143","1265","635","26243"
"02.01.2015 13:30 - 02.01.2015 13:45 (CET)","27987","1176","635","26176"
"02.01.2015 13:45 - 02.01.2015 14:00 (CET)","27845","1085","635","26125"
"02.01.2015 14:00 - 02.01.2015 14:15 (CET)","27642","979","636","26027"
"02.01.2015 14:15 - 02.01.2015 14:30 (CET)","27430","866","635","25929"
"02.01.2015 14:30 - 02.01.2015 14:45 (CET)","27233","755","635","25843"
"02.01.2015 14:45 - 02.01.2015 15:00 (CET)","27018","615","635","25768"
"02.01.2015 15:00 - 02.01.2015 15:15 (CET)","26802","472","610","25720"
"02.01.2015 15:15 - 02.01.2015 15:30 (CET)","26583","329","611","25643"
"02.01.2015 15:30 - 02.01.2015 15:45 (CET)","26389","201","614","25574"
"02.01.2015 15:45 - 02.01.2015 16:00 (CET)","26267","122","616","25529"
"02.01.2015 16:00 - 02.01.2015 16:15 (CET)","26383","69","617","25697"
"02.01.2015 16:15 - 02.01.2015 16:30 (CET)","26349","38","618","25693"
"02.01.2015 16:30 - 02.01.2015 16:45 (CET)","26323","16","619","25688"
"02.01.2015 16:45 - 02.01.2015 17:00 (CET)","26308","6","621","25681"
"02.01.2015 17:00 - 02.01.2015 17:15 (CET)","26341","0","622","25719"
"02.01.2015 17:15 - 02.01.2015 17:30 (CET)","26364","0","623","25741"
"02.01.2015 17:30 - 02.01.2015 17:45 (CET)","26385","0","623","25762"
"02.01.2015 17:45 - 02.01.2015 18:00 (CET)","26418","0","624","25794"
"02.01.2015 18:00 - 02.01.2015 18:15 (CET)","26433","0","625","25808"
"02.01.2015 18:15 - 02.01.2015 18:30 (CET)","26428","0","626","25802"
"02.01.2015 18:30 - 02.01.2015 18:45 (CET)","26438","0","627","25811"
"02.01.2015 18:45 - 02.01.2015 19:00 (CET)","26448","0","628","25820"
"02.01.2015 19:00 - 02.01.2015 19:15 (CET)","26465","0","630","25835"
"02.01.2015 19:15 - 02.01.2015 19:30 (CET)","26471","0","630","25841"
"02.01.2015 19:30 - 02.01.2015 19:45 (CET)","26466","0","631","25835"
"02.01.2015 19:45 - 02.01.2015 20:00 (CET)","26474","0","631","25843"
"02.01.2015 20:00 - 02.01.2015 20:15 (CET)","26695","0","631","26064"
"02.01.2015 20:15 - 02.01.2015 20:30 (CET)","26662","0","632","26030"
"02.01.2015 20:30 - 02.01.2015 20:45 (CET)","26616","0","632","25984"
"02.01.2015 20:45 - 02.01.2015 21:00 (CET)","26530","0","632","25898"
"02.01.2015 21:00 - 02.01.2015 21:15 (CET)","26445","0","633","25812"
"02.01.2015 21:15 - 02.01.2015 21:30 (CET)","26360","0","633","25727"
"02.01.2015 21:30 - 02.01.2015 21:45 (CET)","26270","0","633","25637"
"02.01.2015 21:45 - 02.01.2015 22:00 (CET)","26190","0","633","25557"
"02.01.2015 22:00 - 02.01.2015 22:15 (CET)","26112","0","634","25478"
"02.01.2015 22:15 - 02.01.2015 22:30 (CET)","26041","0","634","25407"
"02.01.2015 22:30 - 02.01.2015 22:45 (CET)","25962","0","634","25328"
"02.01.2015 22:45 - 02.01.2015 23:00 (CET)","25888","0","634","25254"
"02.01.2015 23:00 - 02.01.2015 23:15 (CET)","25725","0","633","25092"
"02.01.2015 23:15 - 02.01.2015 23:30 (CET)","25677","0","633","25044"
"02.01.2015 23:30 - 02.01.2015 23:45 (CET)","25605","0","633","24972"
"02.01.2015 23:45 - 03.01.2015 00:00 (CET)","25514","0","634","24880"
"03.01.2015 00:00 - 03.01.2015 00:15 (CET)","25199","0","635","24564"
"03.01.2015 00:15 - 03.01.2015 00:30 (CET)","25156","0","635","24521"
"03.01.2015 00:30 - 03.01.2015 00:45 (CET)","25092","0","635","24457"
"03.01.2015 00:45 - 03.01.2015 01:00 (CET)","25051","0","636","24415"
"03.01.2015 01:00 - 03.01.2015 01:15 (CET)","25404","0","636","24768"
"03.01.2015 01:15 - 03.01.2015 01:30 (CET)","25233","0","636","24597"
"03.01.2015 01:30 - 03.01.2015 01:45 (CET)","25084","0","637","24447"
"03.01.2015 01:45 - 03.01.2015 02:00 (CET)","24894","0","637","24257"
"03.01.2015 02:00 - 03.01.2015 02:15 (CET)","24757","0","638","24119"
"03.01.2015 02:15 - 03.01.2015 02:30 (CET)","24577","0","638","23939"
"03.01.2015 02:30 - 03.01.2015 02:45 (CET)","24425","0","638","23787"
"03.01.2015 02:45 - 03.01.2015 03:00 (CET)","24266","0","637","23629"
"03.01.2015 03:00 - 03.01.2015 03:15 (CET)","24060","0","637","23423"
"03.01.2015 03:15 - 03.01.2015 03:30 (CET)","23832","0","637","23195"
"03.01.2015 03:30 - 03.01.2015 03:45 (CET)","23618","0","637","22981"
"03.01.2015 03:45 - 03.01.2015 04:00 (CET)","23388","0","638","22750"
"03.01.2015 04:00 - 03.01.2015 04:15 (CET)","23163","0","638","22525"
"03.01.2015 04:15 - 03.01.2015 04:30 (CET)","23052","0","636","22416"
"03.01.2015 04:30 - 03.01.2015 04:45 (CET)","22953","0","634","22319"
"03.01.2015 04:45 - 03.01.2015 05:00 (CET)","22858","0","633","22225"
"03.01.2015 05:00 - 03.01.2015 05:15 (CET)","22764","0","627","22137"
"03.01.2015 05:15 - 03.01.2015 05:30 (CET)","22706","0","629","22077"
"03.01.2015 05:30 - 03.01.2015 05:45 (CET)","22654","0","630","22024"
"03.01.2015 05:45 - 03.01.2015 06:00 (CET)","22604","0","631","21973"
"03.01.2015 06:00 - 03.01.2015 06:15 (CET)","22563","0","633","21930"
"03.01.2015 06:15 - 03.01.2015 06:30 (CET)","22540","0","634","21906"
"03.01.2015 06:30 - 03.01.2015 06:45 (CET)","22526","0","635","21891"
"03.01.2015 06:45 - 03.01.2015 07:00 (CET)","22530","0","635","21895"
"03.01.2015 07:00 - 03.01.2015 07:15 (CET)","22509","0","636","21873"
"03.01.2015 07:15 - 03.01.2015 07:30 (CET)","22474","1","636","21837"
"03.01.2015 07:30 - 03.01.2015 07:45 (CET)","22428","1","636","21791"
"03.01.2015 07:45 - 03.01.2015 08:00 (CET)","22374","1","637","21736"
"03.01.2015 08:00 - 03.01.2015 08:15 (CET)","22350","10","638","21702"
"03.01.2015 08:15 - 03.01.2015 08:30 (CET)","22359","35","637","21687"
"03.01.2015 08:30 - 03.01.2015 08:45 (CET)","22395","82","637","21676"
"03.01.2015 08:45 - 03.01.2015 09:00 (CET)","22519","154","637","21728"
"03.01.2015 09:00 - 03.01.2015 09:15 (CET)","22640","257","637","21746"
"03.01.2015 09:15 - 03.01.2015 09:30 (CET)","22756","388","637","21731"
"03.01.2015 09:30 - 03.01.2015 09:45 (CET)","22956","543","637","21776"
"03.01.2015 09:45 - 03.01.2015 10:00 (CET)","23149","716","637","21796"
"03.01.2015 10:00 - 03.01.2015 10:15 (CET)","23288","887","637","21764"
"03.01.2015 10:15 - 03.01.2015 10:30 (CET)","23381","1043","636","21702"
"03.01.2015 10:30 - 03.01.2015 10:45 (CET)","23504","1182","636","21686"
"03.01.2015 10:45 - 03.01.2015 11:00 (CET)","23584","1297","635","21652"
"03.01.2015 11:00 - 03.01.2015 11:15 (CET)","23528","1388","635","21505"
"03.01.2015 11:15 - 03.01.2015 11:30 (CET)","23448","1464","633","21351"
"03.01.2015 11:30 - 03.01.2015 11:45 (CET)","23309","1518","631","21160"
"03.01.2015 11:45 - 03.01.2015 12:00 (CET)","23139","1545","629","20965"
"03.01.2015 12:00 - 03.01.2015 12:15 (CET)","22919","1544","630","20745"
"03.01.2015 12:15 - 03.01.2015 12:30 (CET)","22664","1525","630","20509"
"03.01.2015 12:30 - 03.01.2015 12:45 (CET)","22454","1493","629","20332"
"03.01.2015 12:45 - 03.01.2015 13:00 (CET)","22230","1446","627","20157"
"03.01.2015 13:00 - 03.01.2015 13:15 (CET)","21885","1372","625","19888"
"03.01.2015 13:15 - 03.01.2015 13:30 (CET)","21335","1263","625","19447"
"03.01.2015 13:30 - 03.01.2015 13:45 (CET)","20789","1146","623","19020"
"03.01.2015 13:45 - 03.01.2015 14:00 (CET)","20264","1013","622","18629"
"03.01.2015 14:00 - 03.01.2015 14:15 (CET)","19651","874","622","18155"
"03.01.2015 14:15 - 03.01.2015 14:30 (CET)","18976","732","619","17625"
"03.01.2015 14:30 - 03.01.2015 14:45 (CET)","18335","589","617","17129"
"03.01.2015 14:45 - 03.01.2015 15:00 (CET)","17684","458","616","16610"
"03.01.2015 15:00 - 03.01.2015 15:15 (CET)","17080","336","608","16136"
"03.01.2015 15:15 - 03.01.2015 15:30 (CET)","16579","236","606","15737"
"03.01.2015 15:30 - 03.01.2015 15:45 (CET)","16084","150","606","15328"
"03.01.2015 15:45 - 03.01.2015 16:00 (CET)","15623","80","602","14941"
"03.01.2015 16:00 - 03.01.2015 16:15 (CET)","15141","36","602","14503"
"03.01.2015 16:15 - 03.01.2015 16:30 (CET)","14875","20","603","14252"
"03.01.2015 16:30 - 03.01.2015 16:45 (CET)","14515","11","606","13898"
"03.01.2015 16:45 - 03.01.2015 17:00 (CET)","14188","2","607","13579"
"03.01.2015 17:00 - 03.01.2015 17:15 (CET)","13844","0","609","13235"
"03.01.2015 17:15 - 03.01.2015 17:30 (CET)","13640","0","613","13027"
"03.01.2015 17:30 - 03.01.2015 17:45 (CET)","13129","0","616","12513"
"03.01.2015 17:45 - 03.01.2015 18:00 (CET)","12764","0","619","12145"
"03.01.2015 18:00 - 03.01.2015 18:15 (CET)","12469","0","623","11846"
"03.01.2015 18:15 - 03.01.2015 18:30 (CET)","12218","0","623","11595"
"03.01.2015 18:30 - 03.01.2015 18:45 (CET)","11902","0","624","11278"
"03.01.2015 18:45 - 03.01.2015 19:00 (CET)","11689","0","626","11063"
"03.01.2015 19:00 - 03.01.2015 19:15 (CET)","11556","0","627","10929"
"03.01.2015 19:15 - 03.01.2015 19:30 (CET)","11588","0","627","10961"
"03.01.2015 19:30 - 03.01.2015 19:45 (CET)","11543","0","626","10917"
"03.01.2015 19:45 - 03.01.2015 20:00 (CET)","11554","0","625","10929"
"03.01.2015 20:00 - 03.01.2015 20:15 (CET)","11838","0","623","11215"
"03.01.2015 20:15 - 03.01.2015 20:30 (CET)","11985","0","623","11362"
"03.01.2015 20:30 - 03.01.2015 20:45 (CET)","12209","0","623","11586"
"03.01.2015 20:45 - 03.01.2015 21:00 (CET)","12382","0","622","11760"
"03.01.2015 21:00 - 03.01.2015 21:15 (CET)","12602","0","621","11981"
"03.01.2015 21:15 - 03.01.2015 21:30 (CET)","12853","0","620","12233"
"03.01.2015 21:30 - 03.01.2015 21:45 (CET)","13128","0","619","12509"
"03.01.2015 21:45 - 03.01.2015 22:00 (CET)","13400","0","618","12782"
"03.01.2015 22:00 - 03.01.2015 22:15 (CET)","13717","0","619","13098"
"03.01.2015 22:15 - 03.01.2015 22:30 (CET)","14024","0","618","13406"
"03.01.2015 22:30 - 03.01.2015 22:45 (CET)","14302","0","618","13684"
"03.01.2015 22:45 - 03.01.2015 23:00 (CET)","14593","0","617","13976"
"03.01.2015 23:00 - 03.01.2015 23:15 (CET)","14914","0","614","14300"
"03.01.2015 23:15 - 03.01.2015 23:30 (CET)","15277","0","613","14664"
"03.01.2015 23:30 - 03.01.2015 23:45 (CET)","15665","0","614","15051"
"03.01.2015 23:45 - 04.01.2015 00:00 (CET)","16045","0","615","15430"
"04.01.2015 00:00 - 04.01.2015 00:15 (CET)","16641","0","N/A","16641"
"04.01.2015 00:15 - 04.01.2015 00:30 (CET)","16982","0","N/A","16982"
"04.01.2015 00:30 - 04.01.2015 00:45 (CET)","17324","0","N/A","17324"
"04.01.2015 00:45 - 04.01.2015 01:00 (CET)","17667","0","N/A","17667"
"04.01.2015 01:00 - 04.01.2015 01:15 (CET)","19040","0","N/A","19040"
"04.01.2015 01:15 - 04.01.2015 01:30 (CET)","19178","0","N/A","19178"
"04.01.2015 01:30 - 04.01.2015 01:45 (CET)","19258","0","N/A","19258"
"04.01.2015 01:45 - 04.01.2015 02:00 (CET)","19338","0","N/A","19338"
"04.01.2015 02:00 - 04.01.2015 02:15 (CET)","19400","0","N/A","19400"
"04.01.2015 02:15 - 04.01.2015 02:30 (CET)","19431","0","N/A","19431"
"04.01.2015 02:30 - 04.01.2015 02:45 (CET)","19489","0","N/A","19489"
"04.01.2015 02:45 - 04.01.2015 03:00 (CET)","19518","0","N/A","19518"
"04.01.2015 03:00 - 04.01.2015 03:15 (CET)","19554","0","N/A","19554"
"04.01.2015 03:15 - 04.01.2015 03:30 (CET)","19606","0","N/A","19606"
"04.01.2015 03:30 - 04.01.2015 03:45 (CET)","19720","0","N/A","19720"
"04.01.2015 03:45 - 04.01.2015 04:00 (CET)","19744","0","N/A","19744"
"04.01.2015 04:00 - 04.01.2015 04:15 (CET)","19970","0","N/A","19970"
"04.01.2015 04:15 - 04.01.2015 04:30 (CET)","19945","0","N/A","19945"
"04.01.2015 04:30 - 04.01.2015 04:45 (CET)","19915","0","N/A","19915"
"04.01.2015 04:45 - 04.01.2015 05:00 (CET)","19852","0","N/A","19852"
"04.01.2015 05:00 - 04.01.2015 05:15 (CET)","19831","0","N/A","19831"
"04.01.2015 05:15 - 04.01.2015 05:30 (CET)","19780","0","N/A","19780"
"04.01.2015 05:30 - 04.01.2015 05:45 (CET)","19776","0","N/A","19776"
"04.01.2015 05:45 - 04.01.2015 06:00 (CET)","19652","0","N/A","19652"
"04.01.2015 06:00 - 04.01.2015 06:15 (CET)","19581","0","N/A","19581"
"04.01.2015 06:15 - 04.01.2015 06:30 (CET)","19491","0","N/A","19491"
"04.01.2015 06:30 - 04.01.2015 06:45 (CET)","19427","0","N/A","19427"
"04.01.2015 06:45 - 04.01.2015 07:00 (CET)","19329","0","N/A","19329"
"04.01.2015 07:00 - 04.01.2015 07:15 (CET)","19237","0","N/A","19237"
"04.01.2015 07:15 - 04.01.2015 07:30 (CET)","19156","0","N/A","19156"
"04.01.2015 07:30 - 04.01.2015 07:45 (CET)","19062","0","N/A","19062"
"04.01.2015 07:45 - 04.01.2015 08:00 (CET)","19002","0","N/A","19002"
"04.01.2015 08:00 - 04.01.2015 08:15 (CET)","18908","7","N/A","18901"
"04.01.2015 08:15 - 04.01.2015 08:30 (CET)","18819","27","N/A","18792"
"04.01.2015 08:30 - 04.01.2015 08:45 (CET)","18780","91","N/A","18689"
"04.01.2015 08:45 - 04.01.2015 09:00 (CET)","18883","309","N/A","18574"
"04.01.2015 09:00 - 04.01.2015 09:15 (CET)","19120","658","N/A","18462"
"04.01.2015 09:15 - 04.01.2015 09:30 (CET)","19410","1066","N/A","18344"
"04.01.2015 09:30 - 04.01.2015 09:45 (CET)","19735","1501","N/A","18234"
"04.01.2015 09:45 - 04.01.2015 10:00 (CET)","20113","1993","N/A","18120"
"04.01.2015 10:00 - 04.01.2015 10:15 (CET)","20486","2469","N/A","18017"
"04.01.2015 10:15 - 04.01.2015 10:30 (CET)","20901","2935","N/A","17966"
"04.01.2015 10:30 - 04.01.2015 10:45 (CET)","21288","3368","N/A","17920"
