"MTU (CET)","Generation - Sum [MW] (D) / BZN|DE-AT-LU","Generation - Solar  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] (D) / BZN|DE-AT-LU"
"02.01.2016 05:15 - 02.01.2016 05:30 (CET)","15005","0","2600","12405"
"02.01.2016 05:30 - 02.01.2016 05:45 (CET)","15371","0","2610","12761"
"02.01.2016 05:45 - 02.01.2016 06:00 (CET)","15719","0","2620","13099"
"02.01.2016 06:00 - 02.01.2016 06:15 (CET)","16014","0","2628","13386"
"02.01.2016 06:15 - 02.01.2016 06:30 (CET)","16359","0","2636","13723"
"02.01.2016 06:30 - 02.01.2016 06:45 (CET)","16731","0","2641","14090"
"02.01.2016 06:45 - 02.01.2016 07:00 (CET)","17099","0","2646","14453"
"02.01.2016 07:00 - 02.01.2016 07:15 (CET)","17475","8","2653","14814"
"02.01.2016 07:15 - 02.01.2016 07:30 (CET)","17775","8","2649","15118"
"02.01.2016 07:30 - 02.01.2016 07:45 (CET)","18082","9","2646","15427"
"02.01.2016 07:45 - 02.01.2016 08:00 (CET)","18393","12","2641","15740"
"02.01.2016 08:00 - 02.01.2016 08:15 (CET)","18698","28","2639","16031"
"02.01.2016 08:15 - 02.01.2016 08:30 (CET)","18999","76","2636","16287"
"02.01.2016 08:30 - 02.01.2016 08:45 (CET)","19404","197","2636","16571"
"02.01.2016 08:45 - 02.01.2016 09:00 (CET)","19871","377","2634","16860"
"02.01.2016 09:00 - 02.01.2016 09:15 (CET)","20380","622","2630","17128"
"02.01.2016 09:15 - 02.01.2016 09:30 (CET)","20869","857","2631","17381"
"02.01.2016 09:30 - 02.01.2016 09:45 (CET)","21389","1115","2629","17645"
"02.01.2016 09:45 - 02.01.2016 10:00 (CET)","21918","1416","2629","17873"
"02.01.2016 10:00 - 02.01.2016 10:15 (CET)","22416","1698","2627","18091"
"02.01.2016 10:15 - 02.01.2016 10:30 (CET)","22890","1999","2626","18265"
"02.01.2016 10:30 - 02.01.2016 10:45 (CET)","23363","2286","2627","18450"
"02.01.2016 10:45 - 02.01.2016 11:00 (CET)","23794","2535","2625","18634"
"02.01.2016 11:00 - 02.01.2016 11:15 (CET)","24137","2756","2624","18757"
"02.01.2016 11:15 - 02.01.2016 11:30 (CET)","24394","2931","2623","18840"
"02.01.2016 11:30 - 02.01.2016 11:45 (CET)","24635","3055","2622","18958"
"02.01.2016 11:45 - 02.01.2016 12:00 (CET)","24886","3148","2620","19118"
"02.01.2016 12:00 - 02.01.2016 12:15 (CET)","25045","3195","2628","19222"
"02.01.2016 12:15 - 02.01.2016 12:30 (CET)","25153","3195","2626","19332"
"02.01.2016 12:30 - 02.01.2016 12:45 (CET)","25195","3144","2624","19427"
"02.01.2016 12:45 - 02.01.2016 13:00 (CET)","25203","3061","2623","19519"
"02.01.2016 13:00 - 02.01.2016 13:15 (CET)","25160","2941","2619","19600"
"02.01.2016 13:15 - 02.01.2016 13:30 (CET)","25105","2775","2618","19712"
"02.01.2016 13:30 - 02.01.2016 13:45 (CET)","24998","2564","2617","19817"
"02.01.2016 13:45 - 02.01.2016 14:00 (CET)","24872","2339","2615","19918"
"02.01.2016 14:00 - 02.01.2016 14:15 (CET)","24733","2089","2614","20030"
"02.01.2016 14:15 - 02.01.2016 14:30 (CET)","24607","1817","2613","20177"
"02.01.2016 14:30 - 02.01.2016 14:45 (CET)","24489","1537","2614","20338"
"02.01.2016 14:45 - 02.01.2016 15:00 (CET)","24348","1244","2613","20491"
"02.01.2016 15:00 - 02.01.2016 15:15 (CET)","24261","969","2630","20662"
"02.01.2016 15:15 - 02.01.2016 15:30 (CET)","24191","711","2627","20853"
"02.01.2016 15:30 - 02.01.2016 15:45 (CET)","24067","461","2625","20981"
"02.01.2016 15:45 - 02.01.2016 16:00 (CET)","23989","228","2624","21137"
"02.01.2016 16:00 - 02.01.2016 16:15 (CET)","23997","107","2622","21268"
"02.01.2016 16:15 - 02.01.2016 16:30 (CET)","24106","56","2621","21429"
"02.01.2016 16:30 - 02.01.2016 16:45 (CET)","24228","25","2620","21583"
"02.01.2016 16:45 - 02.01.2016 17:00 (CET)","24359","14","2618","21727"
"02.01.2016 17:00 - 02.01.2016 17:15 (CET)","24482","8","2614","21860"
"02.01.2016 17:15 - 02.01.2016 17:30 (CET)","24592","8","2613","21971"
"02.01.2016 17:30 - 02.01.2016 17:45 (CET)","24725","8","2613","22104"
"02.01.2016 17:45 - 02.01.2016 18:00 (CET)","24809","7","2610","22192"
"02.01.2016 18:00 - 02.01.2016 18:15 (CET)","24879","7","2608","22264"
"02.01.2016 18:15 - 02.01.2016 18:30 (CET)","24910","7","2606","22297"
"02.01.2016 18:30 - 02.01.2016 18:45 (CET)","24918","7","2605","22306"
"02.01.2016 18:45 - 02.01.2016 19:00 (CET)","24952","7","2606","22339"
"02.01.2016 19:00 - 02.01.2016 19:15 (CET)","24980","0","2605","22375"
"02.01.2016 19:15 - 02.01.2016 19:30 (CET)","24947","0","2604","22343"
"02.01.2016 19:30 - 02.01.2016 19:45 (CET)","24935","0","2603","22332"
"02.01.2016 19:45 - 02.01.2016 20:00 (CET)","24942","0","2602","22340"
"02.01.2016 20:00 - 02.01.2016 20:15 (CET)","24902","0","2601","22301"
"02.01.2016 20:15 - 02.01.2016 20:30 (CET)","24775","0","2600","22175"
"02.01.2016 20:30 - 02.01.2016 20:45 (CET)","24621","0","2602","22019"
"02.01.2016 20:45 - 02.01.2016 21:00 (CET)","24491","0","2602","21889"
"02.01.2016 21:00 - 02.01.2016 21:15 (CET)","24383","0","2603","21780"
"02.01.2016 21:15 - 02.01.2016 21:30 (CET)","24288","0","2604","21684"
"02.01.2016 21:30 - 02.01.2016 21:45 (CET)","24235","0","2604","21631"
"02.01.2016 21:45 - 02.01.2016 22:00 (CET)","24185","0","2604","21581"
"02.01.2016 22:00 - 02.01.2016 22:15 (CET)","24150","0","2605","21545"
"02.01.2016 22:15 - 02.01.2016 22:30 (CET)","24065","0","2605","21460"
"02.01.2016 22:30 - 02.01.2016 22:45 (CET)","23952","0","2605","21347"
"02.01.2016 22:45 - 02.01.2016 23:00 (CET)","23874","0","2606","21268"
"02.01.2016 23:00 - 02.01.2016 23:15 (CET)","23793","0","2614","21179"
"02.01.2016 23:15 - 02.01.2016 23:30 (CET)","23675","0","2613","21062"
"02.01.2016 23:30 - 02.01.2016 23:45 (CET)","23593","0","2612","20981"
"02.01.2016 23:45 - 03.01.2016 00:00 (CET)","23517","0","2611","20906"
"03.01.2016 00:00 - 03.01.2016 00:15 (CET)","23197","0","2607","20590"
"03.01.2016 00:15 - 03.01.2016 00:30 (CET)","23180","0","2605","20575"
"03.01.2016 00:30 - 03.01.2016 00:45 (CET)","23203","0","2603","20600"
"03.01.2016 00:45 - 03.01.2016 01:00 (CET)","23207","0","2601","20606"
"03.01.2016 01:00 - 03.01.2016 01:15 (CET)","23533","0","2599","20934"
"03.01.2016 01:15 - 03.01.2016 01:30 (CET)","23528","0","2597","20931"
"03.01.2016 01:30 - 03.01.2016 01:45 (CET)","23497","0","2595","20902"
"03.01.2016 01:45 - 03.01.2016 02:00 (CET)","23484","0","2596","20888"
"03.01.2016 02:00 - 03.01.2016 02:15 (CET)","23484","0","2594","20890"
"03.01.2016 02:15 - 03.01.2016 02:30 (CET)","23425","0","2593","20832"
"03.01.2016 02:30 - 03.01.2016 02:45 (CET)","23389","0","2591","20798"
"03.01.2016 02:45 - 03.01.2016 03:00 (CET)","23335","0","2591","20744"
"03.01.2016 03:00 - 03.01.2016 03:15 (CET)","23278","0","2600","20678"
"03.01.2016 03:15 - 03.01.2016 03:30 (CET)","23240","0","2600","20640"
"03.01.2016 03:30 - 03.01.2016 03:45 (CET)","23207","0","2600","20607"
"03.01.2016 03:45 - 03.01.2016 04:00 (CET)","23186","0","2599","20587"
"03.01.2016 04:00 - 03.01.2016 04:15 (CET)","23205","0","2616","20589"
"03.01.2016 04:15 - 03.01.2016 04:30 (CET)","23170","0","2616","20554"
"03.01.2016 04:30 - 03.01.2016 04:45 (CET)","23121","0","2615","20506"
"03.01.2016 04:45 - 03.01.2016 05:00 (CET)","23078","0","2611","20467"
"03.01.2016 05:00 - 03.01.2016 05:15 (CET)","23030","0","2610","20420"
"03.01.2016 05:15 - 03.01.2016 05:30 (CET)","22976","0","2608","20368"
"03.01.2016 05:30 - 03.01.2016 05:45 (CET)","22927","0","2608","20319"
"03.01.2016 05:45 - 03.01.2016 06:00 (CET)","22874","0","2605","20269"
"03.01.2016 06:00 - 03.01.2016 06:15 (CET)","22838","0","2602","20236"
"03.01.2016 06:15 - 03.01.2016 06:30 (CET)","22829","0","2599","20230"
"03.01.2016 06:30 - 03.01.2016 06:45 (CET)","22804","0","2596","20208"
"03.01.2016 06:45 - 03.01.2016 07:00 (CET)","22810","0","2596","20214"
"03.01.2016 07:00 - 03.01.2016 07:15 (CET)","22834","8","2593","20233"
"03.01.2016 07:15 - 03.01.2016 07:30 (CET)","22791","8","2591","20192"
"03.01.2016 07:30 - 03.01.2016 07:45 (CET)","22740","9","2589","20142"
"03.01.2016 07:45 - 03.01.2016 08:00 (CET)","22690","11","2587","20092"
"03.01.2016 08:00 - 03.01.2016 08:15 (CET)","22654","19","2583","20052"
"03.01.2016 08:15 - 03.01.2016 08:30 (CET)","22665","47","2581","20037"
"03.01.2016 08:30 - 03.01.2016 08:45 (CET)","22755","156","2578","20021"
"03.01.2016 08:45 - 03.01.2016 09:00 (CET)","22914","336","2576","20002"
"03.01.2016 09:00 - 03.01.2016 09:15 (CET)","23119","577","2573","19969"
"03.01.2016 09:15 - 03.01.2016 09:30 (CET)","23307","818","2575","19914"
"03.01.2016 09:30 - 03.01.2016 09:45 (CET)","23545","1092","2573","19880"
"03.01.2016 09:45 - 03.01.2016 10:00 (CET)","23805","1388","2573","19844"
"03.01.2016 10:00 - 03.01.2016 10:15 (CET)","24040","1677","2571","19792"
"03.01.2016 10:15 - 03.01.2016 10:30 (CET)","24225","1965","2569","19691"
"03.01.2016 10:30 - 03.01.2016 10:45 (CET)","24406","2252","2568","19586"
"03.01.2016 10:45 - 03.01.2016 11:00 (CET)","24537","2512","2565","19460"
"03.01.2016 11:00 - 03.01.2016 11:15 (CET)","24628","2752","2563","19313"
"03.01.2016 11:15 - 03.01.2016 11:30 (CET)","24667","2970","2565","19132"
"03.01.2016 11:30 - 03.01.2016 11:45 (CET)","24660","3149","2565","18946"
"03.01.2016 11:45 - 03.01.2016 12:00 (CET)","24622","3307","2563","18752"
"03.01.2016 12:00 - 03.01.2016 12:15 (CET)","24554","3419","2559","18576"
"03.01.2016 12:15 - 03.01.2016 12:30 (CET)","24452","3483","2558","18411"
"03.01.2016 12:30 - 03.01.2016 12:45 (CET)","24298","3503","2558","18237"
"03.01.2016 12:45 - 03.01.2016 13:00 (CET)","24117","3499","2556","18062"
"03.01.2016 13:00 - 03.01.2016 13:15 (CET)","23929","3446","2556","17927"
"03.01.2016 13:15 - 03.01.2016 13:30 (CET)","23716","3350","2555","17811"
"03.01.2016 13:30 - 03.01.2016 13:45 (CET)","23437","3202","2553","17682"
"03.01.2016 13:45 - 03.01.2016 14:00 (CET)","23114","2997","2551","17566"
"03.01.2016 14:00 - 03.01.2016 14:15 (CET)","22805","2752","2550","17503"
"03.01.2016 14:15 - 03.01.2016 14:30 (CET)","22430","2468","2550","17412"
"03.01.2016 14:30 - 03.01.2016 14:45 (CET)","21994","2136","2550","17308"
"03.01.2016 14:45 - 03.01.2016 15:00 (CET)","21528","1766","2549","17213"
"03.01.2016 15:00 - 03.01.2016 15:15 (CET)","21174","1418","2554","17202"
"03.01.2016 15:15 - 03.01.2016 15:30 (CET)","20850","1106","2557","17187"
"03.01.2016 15:30 - 03.01.2016 15:45 (CET)","20491","766","2560","17165"
"03.01.2016 15:45 - 03.01.2016 16:00 (CET)","20102","397","2563","17142"
"03.01.2016 16:00 - 03.01.2016 16:15 (CET)","19984","186","2565","17233"
"03.01.2016 16:15 - 03.01.2016 16:30 (CET)","19975","89","2562","17324"
"03.01.2016 16:30 - 03.01.2016 16:45 (CET)","20028","41","2562","17425"
"03.01.2016 16:45 - 03.01.2016 17:00 (CET)","20102","23","2559","17520"
"03.01.2016 17:00 - 03.01.2016 17:15 (CET)","20205","15","2558","17632"
"03.01.2016 17:15 - 03.01.2016 17:30 (CET)","20304","12","2558","17734"
"03.01.2016 17:30 - 03.01.2016 17:45 (CET)","20430","10","2558","17862"
"03.01.2016 17:45 - 03.01.2016 18:00 (CET)","20535","7","2557","17971"
"03.01.2016 18:00 - 03.01.2016 18:15 (CET)","20692","7","2557","18128"
"03.01.2016 18:15 - 03.01.2016 18:30 (CET)","20871","7","2555","18309"
"03.01.2016 18:30 - 03.01.2016 18:45 (CET)","21056","7","2553","18496"
"03.01.2016 18:45 - 03.01.2016 19:00 (CET)","21230","7","2552","18671"
"03.01.2016 19:00 - 03.01.2016 19:15 (CET)","21369","0","2552","18817"
"03.01.2016 19:15 - 03.01.2016 19:30 (CET)","21406","0","2552","18854"
"03.01.2016 19:30 - 03.01.2016 19:45 (CET)","21501","0","2552","18949"
"03.01.2016 19:45 - 03.01.2016 20:00 (CET)","21579","0","2550","19029"
"03.01.2016 20:00 - 03.01.2016 20:15 (CET)","21658","0","2549","19109"
"03.01.2016 20:15 - 03.01.2016 20:30 (CET)","21670","0","2550","19120"
"03.01.2016 20:30 - 03.01.2016 20:45 (CET)","21724","0","2548","19176"
"03.01.2016 20:45 - 03.01.2016 21:00 (CET)","21746","0","2548","19198"
"03.01.2016 21:00 - 03.01.2016 21:15 (CET)","21792","0","2550","19242"
"03.01.2016 21:15 - 03.01.2016 21:30 (CET)","21825","0","2551","19274"
"03.01.2016 21:30 - 03.01.2016 21:45 (CET)","21879","0","2551","19328"
"03.01.2016 21:45 - 03.01.2016 22:00 (CET)","21940","0","2555","19385"
"03.01.2016 22:00 - 03.01.2016 22:15 (CET)","21991","0","2556","19435"
"03.01.2016 22:15 - 03.01.2016 22:30 (CET)","22066","0","2561","19505"
"03.01.2016 22:30 - 03.01.2016 22:45 (CET)","22152","0","2564","19588"
"03.01.2016 22:45 - 03.01.2016 23:00 (CET)","22233","0","2568","19665"
"03.01.2016 23:00 - 03.01.2016 23:15 (CET)","22283","0","2561","19722"
"03.01.2016 23:15 - 03.01.2016 23:30 (CET)","22308","0","2566","19742"
"03.01.2016 23:30 - 03.01.2016 23:45 (CET)","22268","0","2574","19694"
"03.01.2016 23:45 - 04.01.2016 00:00 (CET)","22227","0","2581","19646"
"04.01.2016 00:00 - 04.01.2016 00:15 (CET)","23294","0","2605","20689"
"04.01.2016 00:15 - 04.01.2016 00:30 (CET)","23265","0","2611","20654"
"04.01.2016 00:30 - 04.01.2016 00:45 (CET)","23192","0","2619","20573"
"04.01.2016 00:45 - 04.01.2016 01:00 (CET)","23180","0","2627","20553"
"04.01.2016 01:00 - 04.01.2016 01:15 (CET)","23602","0","2632","20970"
"04.01.2016 01:15 - 04.01.2016 01:30 (CET)","23581","0","2633","20948"
"04.01.2016 01:30 - 04.01.2016 01:45 (CET)","23551","0","2638","20913"
"04.01.2016 01:45 - 04.01.2016 02:00 (CET)","23509","0","2641","20868"
"04.01.2016 02:00 - 04.01.2016 02:15 (CET)","23509","0","2643","20866"
"04.01.2016 02:15 - 04.01.2016 02:30 (CET)","23415","0","2645","20770"
"04.01.2016 02:30 - 04.01.2016 02:45 (CET)","23269","0","2646","20623"
"04.01.2016 02:45 - 04.01.2016 03:00 (CET)","23127","0","2651","20476"
"04.01.2016 03:00 - 04.01.2016 03:15 (CET)","23027","0","2661","20366"
"04.01.2016 03:15 - 04.01.2016 03:30 (CET)","22930","0","2661","20269"
"04.01.2016 03:30 - 04.01.2016 03:45 (CET)","22814","0","2664","20150"
"04.01.2016 03:45 - 04.01.2016 04:00 (CET)","22705","0","2665","20040"
"04.01.2016 04:00 - 04.01.2016 04:15 (CET)","22574","0","2640","19934"
"04.01.2016 04:15 - 04.01.2016 04:30 (CET)","22389","0","2644","19745"
"04.01.2016 04:30 - 04.01.2016 04:45 (CET)","22247","0","2650","19597"
"04.01.2016 04:45 - 04.01.2016 05:00 (CET)","22139","0","2653","19486"
"04.01.2016 05:00 - 04.01.2016 05:15 (CET)","22040","0","2658","19382"
"04.01.2016 05:15 - 04.01.2016 05:30 (CET)","21956","0","2660","19296"
"04.01.2016 05:30 - 04.01.2016 05:45 (CET)","21863","0","2664","19199"
"04.01.2016 05:45 - 04.01.2016 06:00 (CET)","21784","0","2665","19119"
"04.01.2016 06:00 - 04.01.2016 06:15 (CET)","21733","0","2668","19065"
"04.01.2016 06:15 - 04.01.2016 06:30 (CET)","21547","0","2667","18880"
"04.01.2016 06:30 - 04.01.2016 06:45 (CET)","21444","0","2670","18774"
"04.01.2016 06:45 - 04.01.2016 07:00 (CET)","21365","0","2671","18694"
"04.01.2016 07:00 - 04.01.2016 07:15 (CET)","21345","8","2674","18663"
"04.01.2016 07:15 - 04.01.2016 07:30 (CET)","21244","8","2673","18563"
"04.01.2016 07:30 - 04.01.2016 07:45 (CET)","21135","9","2673","18453"
"04.01.2016 07:45 - 04.01.2016 08:00 (CET)","21036","10","2675","18351"
"04.01.2016 08:00 - 04.01.2016 08:15 (CET)","20983","19","2678","18286"
"04.01.2016 08:15 - 04.01.2016 08:30 (CET)","20909","46","2680","18183"
"04.01.2016 08:30 - 04.01.2016 08:45 (CET)","20883","119","2680","18084"
"04.01.2016 08:45 - 04.01.2016 09:00 (CET)","20903","233","2682","17988"
"04.01.2016 09:00 - 04.01.2016 09:15 (CET)","20943","402","2681","17860"
"04.01.2016 09:15 - 04.01.2016 09:30 (CET)","20942","589","2680","17673"
