"MTU (CET)","Generation - Sum [MW] (D) / BZN|DE-AT-LU","Generation - Solar  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] (D) / BZN|DE-AT-LU"
"01.01.2016 00:00 - 01.01.2016 00:15 (CET)","10250","0","2085","8165"
"01.01.2016 00:15 - 01.01.2016 00:30 (CET)","10123","0","2094","8029"
"01.01.2016 00:30 - 01.01.2016 00:45 (CET)","10082","0","2100","7982"
"01.01.2016 00:45 - 01.01.2016 01:00 (CET)","10184","0","2107","8077"
"01.01.2016 01:00 - 01.01.2016 01:15 (CET)","9935","0","2110","7825"
"01.01.2016 01:15 - 01.01.2016 01:30 (CET)","9866","0","2098","7768"
"01.01.2016 01:30 - 01.01.2016 01:45 (CET)","9779","0","2092","7687"
"01.01.2016 01:45 - 01.01.2016 02:00 (CET)","9719","0","2083","7636"
"01.01.2016 02:00 - 01.01.2016 02:15 (CET)","9663","0","2069","7594"
"01.01.2016 02:15 - 01.01.2016 02:30 (CET)","9569","0","2048","7521"
"01.01.2016 02:30 - 01.01.2016 02:45 (CET)","9492","0","2028","7464"
"01.01.2016 02:45 - 01.01.2016 03:00 (CET)","9428","0","2006","7422"
"01.01.2016 03:00 - 01.01.2016 03:15 (CET)","9346","0","1954","7392"
"01.01.2016 03:15 - 01.01.2016 03:30 (CET)","9266","0","1939","7327"
"01.01.2016 03:30 - 01.01.2016 03:45 (CET)","9157","0","1922","7235"
"01.01.2016 03:45 - 01.01.2016 04:00 (CET)","9050","0","1907","7143"
"01.01.2016 04:00 - 01.01.2016 04:15 (CET)","9038","0","1965","7073"
"01.01.2016 04:15 - 01.01.2016 04:30 (CET)","8921","0","1923","6998"
"01.01.2016 04:30 - 01.01.2016 04:45 (CET)","8784","0","1879","6905"
"01.01.2016 04:45 - 01.01.2016 05:00 (CET)","8649","0","1835","6814"
"01.01.2016 05:00 - 01.01.2016 05:15 (CET)","8534","0","1783","6751"
"01.01.2016 05:15 - 01.01.2016 05:30 (CET)","8409","0","1729","6680"
"01.01.2016 05:30 - 01.01.2016 05:45 (CET)","8266","0","1670","6596"
"01.01.2016 05:45 - 01.01.2016 06:00 (CET)","8121","0","1610","6511"
"01.01.2016 06:00 - 01.01.2016 06:15 (CET)","7978","0","1550","6428"
"01.01.2016 06:15 - 01.01.2016 06:30 (CET)","7847","0","1481","6366"
"01.01.2016 06:30 - 01.01.2016 06:45 (CET)","7662","0","1404","6258"
"01.01.2016 06:45 - 01.01.2016 07:00 (CET)","7483","0","1342","6141"
"01.01.2016 07:00 - 01.01.2016 07:15 (CET)","7343","8","1275","6060"
"01.01.2016 07:15 - 01.01.2016 07:30 (CET)","7118","8","1178","5932"
"01.01.2016 07:30 - 01.01.2016 07:45 (CET)","6843","10","1075","5758"
"01.01.2016 07:45 - 01.01.2016 08:00 (CET)","6607","12","997","5598"
"01.01.2016 08:00 - 01.01.2016 08:15 (CET)","6414","28","914","5472"
"01.01.2016 08:15 - 01.01.2016 08:30 (CET)","6270","69","836","5365"
"01.01.2016 08:30 - 01.01.2016 08:45 (CET)","6210","210","762","5238"
"01.01.2016 08:45 - 01.01.2016 09:00 (CET)","6194","418","683","5093"
"01.01.2016 09:00 - 01.01.2016 09:15 (CET)","6246","682","624","4940"
"01.01.2016 09:15 - 01.01.2016 09:30 (CET)","6314","942","578","4794"
"01.01.2016 09:30 - 01.01.2016 09:45 (CET)","6399","1249","528","4622"
"01.01.2016 09:45 - 01.01.2016 10:00 (CET)","6626","1711","484","4431"
"01.01.2016 10:00 - 01.01.2016 10:15 (CET)","6798","2095","440","4263"
"01.01.2016 10:15 - 01.01.2016 10:30 (CET)","6975","2487","416","4072"
"01.01.2016 10:30 - 01.01.2016 10:45 (CET)","7152","2873","389","3890"
"01.01.2016 10:45 - 01.01.2016 11:00 (CET)","7400","3266","364","3770"
"01.01.2016 11:00 - 01.01.2016 11:15 (CET)","7578","3644","332","3602"
"01.01.2016 11:15 - 01.01.2016 11:30 (CET)","7690","3952","302","3436"
"01.01.2016 11:30 - 01.01.2016 11:45 (CET)","7740","4200","274","3266"
"01.01.2016 11:45 - 01.01.2016 12:00 (CET)","7756","4406","250","3100"
"01.01.2016 12:00 - 01.01.2016 12:15 (CET)","7698","4549","181","2968"
"01.01.2016 12:15 - 01.01.2016 12:30 (CET)","7649","4629","162","2858"
"01.01.2016 12:30 - 01.01.2016 12:45 (CET)","7520","4642","142","2736"
"01.01.2016 12:45 - 01.01.2016 13:00 (CET)","7345","4616","122","2607"
"01.01.2016 13:00 - 01.01.2016 13:15 (CET)","7109","4536","106","2467"
"01.01.2016 13:15 - 01.01.2016 13:30 (CET)","6866","4390","95","2381"
"01.01.2016 13:30 - 01.01.2016 13:45 (CET)","6540","4168","85","2287"
"01.01.2016 13:45 - 01.01.2016 14:00 (CET)","6165","3899","77","2189"
"01.01.2016 14:00 - 01.01.2016 14:15 (CET)","5706","3572","69","2065"
"01.01.2016 14:15 - 01.01.2016 14:30 (CET)","5238","3176","65","1997"
"01.01.2016 14:30 - 01.01.2016 14:45 (CET)","4753","2743","60","1950"
"01.01.2016 14:45 - 01.01.2016 15:00 (CET)","4217","2289","53","1875"
"01.01.2016 15:00 - 01.01.2016 15:15 (CET)","3656","1834","17","1805"
"01.01.2016 15:15 - 01.01.2016 15:30 (CET)","3165","1362","14","1789"
"01.01.2016 15:30 - 01.01.2016 15:45 (CET)","2667","866","12","1789"
"01.01.2016 15:45 - 01.01.2016 16:00 (CET)","2233","439","12","1782"
"01.01.2016 16:00 - 01.01.2016 16:15 (CET)","1982","197","13","1772"
"01.01.2016 16:15 - 01.01.2016 16:30 (CET)","1900","80","16","1804"
"01.01.2016 16:30 - 01.01.2016 16:45 (CET)","1907","37","25","1845"
"01.01.2016 16:45 - 01.01.2016 17:00 (CET)","1932","16","33","1883"
"01.01.2016 17:00 - 01.01.2016 17:15 (CET)","1980","9","45","1926"
"01.01.2016 17:15 - 01.01.2016 17:30 (CET)","2044","7","63","1974"
"01.01.2016 17:30 - 01.01.2016 17:45 (CET)","2122","7","79","2036"
"01.01.2016 17:45 - 01.01.2016 18:00 (CET)","2191","7","98","2086"
"01.01.2016 18:00 - 01.01.2016 18:15 (CET)","2258","7","121","2130"
"01.01.2016 18:15 - 01.01.2016 18:30 (CET)","2341","7","148","2186"
"01.01.2016 18:30 - 01.01.2016 18:45 (CET)","2443","7","175","2261"
"01.01.2016 18:45 - 01.01.2016 19:00 (CET)","2552","7","199","2346"
"01.01.2016 19:00 - 01.01.2016 19:15 (CET)","2695","0","229","2466"
"01.01.2016 19:15 - 01.01.2016 19:30 (CET)","2825","0","277","2548"
"01.01.2016 19:30 - 01.01.2016 19:45 (CET)","3001","0","320","2681"
"01.01.2016 19:45 - 01.01.2016 20:00 (CET)","3178","0","364","2814"
"01.01.2016 20:00 - 01.01.2016 20:15 (CET)","3331","0","412","2919"
"01.01.2016 20:15 - 01.01.2016 20:30 (CET)","3497","0","463","3034"
"01.01.2016 20:30 - 01.01.2016 20:45 (CET)","3669","0","512","3157"
"01.01.2016 20:45 - 01.01.2016 21:00 (CET)","3839","0","558","3281"
"01.01.2016 21:00 - 01.01.2016 21:15 (CET)","4021","0","612","3409"
"01.01.2016 21:15 - 01.01.2016 21:30 (CET)","4165","0","667","3498"
"01.01.2016 21:30 - 01.01.2016 21:45 (CET)","4333","0","721","3612"
"01.01.2016 21:45 - 01.01.2016 22:00 (CET)","4516","0","778","3738"
"01.01.2016 22:00 - 01.01.2016 22:15 (CET)","4666","0","837","3829"
"01.01.2016 22:15 - 01.01.2016 22:30 (CET)","4828","0","896","3932"
"01.01.2016 22:30 - 01.01.2016 22:45 (CET)","4981","0","958","4023"
"01.01.2016 22:45 - 01.01.2016 23:00 (CET)","5140","0","1019","4121"
"01.01.2016 23:00 - 01.01.2016 23:15 (CET)","5192","0","1008","4184"
"01.01.2016 23:15 - 01.01.2016 23:30 (CET)","5320","0","1066","4254"
"01.01.2016 23:30 - 01.01.2016 23:45 (CET)","5441","0","1117","4324"
"01.01.2016 23:45 - 02.01.2016 00:00 (CET)","5586","0","1170","4416"
"02.01.2016 00:00 - 02.01.2016 00:15 (CET)","6328","0","1201","5127"
"02.01.2016 00:15 - 02.01.2016 00:30 (CET)","6557","0","1274","5283"
"02.01.2016 00:30 - 02.01.2016 00:45 (CET)","6811","0","1348","5463"
"02.01.2016 00:45 - 02.01.2016 01:00 (CET)","7032","0","1419","5613"
"02.01.2016 01:00 - 02.01.2016 01:15 (CET)","8785","0","1498","7287"
"02.01.2016 01:15 - 02.01.2016 01:30 (CET)","9151","0","1582","7569"
"02.01.2016 01:30 - 02.01.2016 01:45 (CET)","9503","0","1665","7838"
"02.01.2016 01:45 - 02.01.2016 02:00 (CET)","9853","0","1754","8099"
"02.01.2016 02:00 - 02.01.2016 02:15 (CET)","10201","0","1836","8365"
"02.01.2016 02:15 - 02.01.2016 02:30 (CET)","10569","0","1917","8652"
"02.01.2016 02:30 - 02.01.2016 02:45 (CET)","10948","0","1996","8952"
"02.01.2016 02:45 - 02.01.2016 03:00 (CET)","11324","0","2074","9250"
"02.01.2016 03:00 - 02.01.2016 03:15 (CET)","11678","0","2146","9532"
"02.01.2016 03:15 - 02.01.2016 03:30 (CET)","12006","0","2213","9793"
"02.01.2016 03:30 - 02.01.2016 03:45 (CET)","12385","0","2286","10099"
"02.01.2016 03:45 - 02.01.2016 04:00 (CET)","12822","0","2351","10471"
"02.01.2016 04:00 - 02.01.2016 04:15 (CET)","13340","0","2500","10840"
"02.01.2016 04:15 - 02.01.2016 04:30 (CET)","13643","0","2522","11121"
"02.01.2016 04:30 - 02.01.2016 04:45 (CET)","14000","0","2547","11453"
"02.01.2016 04:45 - 02.01.2016 05:00 (CET)","14357","0","2569","11788"
"02.01.2016 05:00 - 02.01.2016 05:15 (CET)","14657","0","2589","12068"
