"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"01.01.2015 18:15 - 01.01.2015 18:30","61549","58519"
"01.01.2015 18:30 - 01.01.2015 18:45","61500","58229"
"01.01.2015 18:45 - 01.01.2015 19:00","61217","57826"
"01.01.2015 19:00 - 01.01.2015 19:15","61071","57943"
"01.01.2015 19:15 - 01.01.2015 19:30","60715","57860"
"01.01.2015 19:30 - 01.01.2015 19:45","60306","57163"
"01.01.2015 19:45 - 01.01.2015 20:00","59631","56122"
"01.01.2015 20:00 - 01.01.2015 20:15","58893","55367"
"01.01.2015 20:15 - 01.01.2015 20:30","57931","54595"
"01.01.2015 20:30 - 01.01.2015 20:45","57047","53758"
"01.01.2015 20:45 - 01.01.2015 21:00","56404","52772"
"01.01.2015 21:00 - 01.01.2015 21:15","56317","52239"
"01.01.2015 21:15 - 01.01.2015 21:30","56030","51966"
"01.01.2015 21:30 - 01.01.2015 21:45","54627","51374"
"01.01.2015 21:45 - 01.01.2015 22:00","54605","51605"
"01.01.2015 22:00 - 01.01.2015 22:15","55582","57096"
"01.01.2015 22:15 - 01.01.2015 22:30","55255","56446"
"01.01.2015 22:30 - 01.01.2015 22:45","55505","55596"
"01.01.2015 22:45 - 01.01.2015 23:00","54628","54923"
"01.01.2015 23:00 - 01.01.2015 23:15","54016","54335"
"01.01.2015 23:15 - 01.01.2015 23:30","53275","53079"
"01.01.2015 23:30 - 01.01.2015 23:45","51354","52138"
"01.01.2015 23:45 - 02.01.2015 00:00","49892","51447"
"02.01.2015 00:00 - 02.01.2015 00:15","48143","49857"
"02.01.2015 00:15 - 02.01.2015 00:30","45927","49722"
"02.01.2015 00:30 - 02.01.2015 00:45","47127","48679"
"02.01.2015 00:45 - 02.01.2015 01:00","46637","48452"
"02.01.2015 01:00 - 02.01.2015 01:15","46044","47760"
"02.01.2015 01:15 - 02.01.2015 01:30","45518","47170"
"02.01.2015 01:30 - 02.01.2015 01:45","45267","46968"
"02.01.2015 01:45 - 02.01.2015 02:00","44961","46806"
"02.01.2015 02:00 - 02.01.2015 02:15","44605","46341"
"02.01.2015 02:15 - 02.01.2015 02:30","44503","46262"
"02.01.2015 02:30 - 02.01.2015 02:45","44525","46145"
"02.01.2015 02:45 - 02.01.2015 03:00","44385","45872"
"02.01.2015 03:00 - 02.01.2015 03:15","44549","45829"
"02.01.2015 03:15 - 02.01.2015 03:30","44447","45748"
"02.01.2015 03:30 - 02.01.2015 03:45","44410","45337"
"02.01.2015 03:45 - 02.01.2015 04:00","44594","45417"
"02.01.2015 04:00 - 02.01.2015 04:15","45238","45955"
"02.01.2015 04:15 - 02.01.2015 04:30","45426","46307"
"02.01.2015 04:30 - 02.01.2015 04:45","45742","46591"
"02.01.2015 04:45 - 02.01.2015 05:00","46323","46976"
"02.01.2015 05:00 - 02.01.2015 05:15","47017","48113"
"02.01.2015 05:15 - 02.01.2015 05:30","47143","48495"
"02.01.2015 05:30 - 02.01.2015 05:45","47795","49089"
"02.01.2015 05:45 - 02.01.2015 06:00","48727","49828"
"02.01.2015 06:00 - 02.01.2015 06:15","49506","50890"
"02.01.2015 06:15 - 02.01.2015 06:30","50251","51754"
"02.01.2015 06:30 - 02.01.2015 06:45","51562","53071"
"02.01.2015 06:45 - 02.01.2015 07:00","52893","54050"
"02.01.2015 07:00 - 02.01.2015 07:15","55357","55926"
"02.01.2015 07:15 - 02.01.2015 07:30","57298","56761"
"02.01.2015 07:30 - 02.01.2015 07:45","58203","57967"
"02.01.2015 07:45 - 02.01.2015 08:00","59026","59449"
"02.01.2015 08:00 - 02.01.2015 08:15","59968","61038"
"02.01.2015 08:15 - 02.01.2015 08:30","60084","62177"
"02.01.2015 08:30 - 02.01.2015 08:45","60302","62630"
"02.01.2015 08:45 - 02.01.2015 09:00","60557","62556"
"02.01.2015 09:00 - 02.01.2015 09:15","60965","63642"
"02.01.2015 09:15 - 02.01.2015 09:30","61721","64320"
"02.01.2015 09:30 - 02.01.2015 09:45","62091","64567"
"02.01.2015 09:45 - 02.01.2015 10:00","62423","65058"
"02.01.2015 10:00 - 02.01.2015 10:15","62718","65948"
"02.01.2015 10:15 - 02.01.2015 10:30","62876","66106"
"02.01.2015 10:30 - 02.01.2015 10:45","63229","66828"
"02.01.2015 10:45 - 02.01.2015 11:00","63675","67194"
"02.01.2015 11:00 - 02.01.2015 11:15","63963","67544"
"02.01.2015 11:15 - 02.01.2015 11:30","64480","67483"
"02.01.2015 11:30 - 02.01.2015 11:45","64623","67469"
"02.01.2015 11:45 - 02.01.2015 12:00","64400","67482"
"02.01.2015 12:00 - 02.01.2015 12:15","64544","67264"
"02.01.2015 12:15 - 02.01.2015 12:30","64288","66838"
"02.01.2015 12:30 - 02.01.2015 12:45","64284","66839"
"02.01.2015 12:45 - 02.01.2015 13:00","63262","66679"
"02.01.2015 13:00 - 02.01.2015 13:15","61898","66608"
"02.01.2015 13:15 - 02.01.2015 13:30","61671","66558"
"02.01.2015 13:30 - 02.01.2015 13:45","62254","66105"
"02.01.2015 13:45 - 02.01.2015 14:00","62066","65940"
"02.01.2015 14:00 - 02.01.2015 14:15","60625","65784"
"02.01.2015 14:15 - 02.01.2015 14:30","61478","65451"
"02.01.2015 14:30 - 02.01.2015 14:45","62053","65141"
"02.01.2015 14:45 - 02.01.2015 15:00","61962","64974"
"02.01.2015 15:00 - 02.01.2015 15:15","61907","65137"
"02.01.2015 15:15 - 02.01.2015 15:30","61475","64956"
"02.01.2015 15:30 - 02.01.2015 15:45","61504","64803"
"02.01.2015 15:45 - 02.01.2015 16:00","61303","64974"
"02.01.2015 16:00 - 02.01.2015 16:15","61957","65800"
"02.01.2015 16:15 - 02.01.2015 16:30","62419","66508"
"02.01.2015 16:30 - 02.01.2015 16:45","63442","66827"
"02.01.2015 16:45 - 02.01.2015 17:00","64529","67376"
"02.01.2015 17:00 - 02.01.2015 17:15","65370","68317"
"02.01.2015 17:15 - 02.01.2015 17:30","66226","68518"
"02.01.2015 17:30 - 02.01.2015 17:45","66479","68902"
"02.01.2015 17:45 - 02.01.2015 18:00","66627","68948"
"02.01.2015 18:00 - 02.01.2015 18:15","66502","69158"
"02.01.2015 18:15 - 02.01.2015 18:30","66134","68646"
"02.01.2015 18:30 - 02.01.2015 18:45","66005","68240"
"02.01.2015 18:45 - 02.01.2015 19:00","65609","67578"
"02.01.2015 19:00 - 02.01.2015 19:15","65148","66787"
"02.01.2015 19:15 - 02.01.2015 19:30","64313","65887"
"02.01.2015 19:30 - 02.01.2015 19:45","63682","65451"
"02.01.2015 19:45 - 02.01.2015 20:00","62727","64669"
"02.01.2015 20:00 - 02.01.2015 20:15","61478","63099"
"02.01.2015 20:15 - 02.01.2015 20:30","60219","61716"
"02.01.2015 20:30 - 02.01.2015 20:45","58994","60789"
"02.01.2015 20:45 - 02.01.2015 21:00","58097","60234"
"02.01.2015 21:00 - 02.01.2015 21:15","57546","59762"
"02.01.2015 21:15 - 02.01.2015 21:30","55956","59469"
"02.01.2015 21:30 - 02.01.2015 21:45","53975","58922"
"02.01.2015 21:45 - 02.01.2015 22:00","53445","58820"
"02.01.2015 22:00 - 02.01.2015 22:15","54075","59037"
"02.01.2015 22:15 - 02.01.2015 22:30","54144","58401"
"02.01.2015 22:30 - 02.01.2015 22:45","53274","57807"
"02.01.2015 22:45 - 02.01.2015 23:00","52268","54160"
"02.01.2015 23:00 - 02.01.2015 23:15","51953","53516"
"02.01.2015 23:15 - 02.01.2015 23:30","51756","52406"
"02.01.2015 23:30 - 02.01.2015 23:45","52045","51536"
"02.01.2015 23:45 - 03.01.2015 00:00","50595","50576"
"03.01.2015 00:00 - 03.01.2015 00:15","49815","48756"
"03.01.2015 00:15 - 03.01.2015 00:30","48447","47881"
"03.01.2015 00:30 - 03.01.2015 00:45","49828","47455"
"03.01.2015 00:45 - 03.01.2015 01:00","49125","46749"
"03.01.2015 01:00 - 03.01.2015 01:15","48413","46179"
"03.01.2015 01:15 - 03.01.2015 01:30","47828","45532"
"03.01.2015 01:30 - 03.01.2015 01:45","47395","45114"
"03.01.2015 01:45 - 03.01.2015 02:00","47091","44788"
"03.01.2015 02:00 - 03.01.2015 02:15","46753","44329"
"03.01.2015 02:15 - 03.01.2015 02:30","46527","43721"
"03.01.2015 02:30 - 03.01.2015 02:45","46400","42968"
"03.01.2015 02:45 - 03.01.2015 03:00","46335","42704"
"03.01.2015 03:00 - 03.01.2015 03:15","46321","42472"
"03.01.2015 03:15 - 03.01.2015 03:30","46164","42129"
"03.01.2015 03:30 - 03.01.2015 03:45","46490","42183"
"03.01.2015 03:45 - 03.01.2015 04:00","46732","42211"
"03.01.2015 04:00 - 03.01.2015 04:15","46656","42626"
"03.01.2015 04:15 - 03.01.2015 04:30","46500","42455"
"03.01.2015 04:30 - 03.01.2015 04:45","47098","42475"
"03.01.2015 04:45 - 03.01.2015 05:00","47217","42604"
"03.01.2015 05:00 - 03.01.2015 05:15","47039","43275"
"03.01.2015 05:15 - 03.01.2015 05:30","46788","43005"
"03.01.2015 05:30 - 03.01.2015 05:45","46848","42955"
"03.01.2015 05:45 - 03.01.2015 06:00","46811","43678"
"03.01.2015 06:00 - 03.01.2015 06:15","46832","43955"
"03.01.2015 06:15 - 03.01.2015 06:30","46859","44280"
"03.01.2015 06:30 - 03.01.2015 06:45","47281","44839"
"03.01.2015 06:45 - 03.01.2015 07:00","48042","45602"
"03.01.2015 07:00 - 03.01.2015 07:15","48922","46580"
"03.01.2015 07:15 - 03.01.2015 07:30","49706","47256"
"03.01.2015 07:30 - 03.01.2015 07:45","50655","48022"
"03.01.2015 07:45 - 03.01.2015 08:00","51632","48940"
"03.01.2015 08:00 - 03.01.2015 08:15","52841","49685"
"03.01.2015 08:15 - 03.01.2015 08:30","53636","50259"
"03.01.2015 08:30 - 03.01.2015 08:45","54539","50936"
"03.01.2015 08:45 - 03.01.2015 09:00","55286","51999"
"03.01.2015 09:00 - 03.01.2015 09:15","56352","53136"
"03.01.2015 09:15 - 03.01.2015 09:30","57214","53672"
"03.01.2015 09:30 - 03.01.2015 09:45","57672","54728"
"03.01.2015 09:45 - 03.01.2015 10:00","58158","55509"
"03.01.2015 10:00 - 03.01.2015 10:15","59025","55871"
"03.01.2015 10:15 - 03.01.2015 10:30","59491","56070"
"03.01.2015 10:30 - 03.01.2015 10:45","59694","56335"
"03.01.2015 10:45 - 03.01.2015 11:00","60126","56920"
"03.01.2015 11:00 - 03.01.2015 11:15","60503","57496"
"03.01.2015 11:15 - 03.01.2015 11:30","60930","58368"
"03.01.2015 11:30 - 03.01.2015 11:45","61192","59471"
"03.01.2015 11:45 - 03.01.2015 12:00","60909","59841"
"03.01.2015 12:00 - 03.01.2015 12:15","60772","58651"
"03.01.2015 12:15 - 03.01.2015 12:30","60497","58813"
"03.01.2015 12:30 - 03.01.2015 12:45","60174","59569"
"03.01.2015 12:45 - 03.01.2015 13:00","59980","59384"
"03.01.2015 13:00 - 03.01.2015 13:15","59681","59285"
"03.01.2015 13:15 - 03.01.2015 13:30","59379","58456"
"03.01.2015 13:30 - 03.01.2015 13:45","58866","57988"
"03.01.2015 13:45 - 03.01.2015 14:00","58775","57451"
"03.01.2015 14:00 - 03.01.2015 14:15","58308","57372"
"03.01.2015 14:15 - 03.01.2015 14:30","58028","56905"
"03.01.2015 14:30 - 03.01.2015 14:45","57731","56691"
"03.01.2015 14:45 - 03.01.2015 15:00","57606","56273"
"03.01.2015 15:00 - 03.01.2015 15:15","57677","56543"
"03.01.2015 15:15 - 03.01.2015 15:30","57220","56346"
"03.01.2015 15:30 - 03.01.2015 15:45","56657","56268"
"03.01.2015 15:45 - 03.01.2015 16:00","57312","56334"
"03.01.2015 16:00 - 03.01.2015 16:15","58082","57025"
"03.01.2015 16:15 - 03.01.2015 16:30","58468","58646"
"03.01.2015 16:30 - 03.01.2015 16:45","58800","59016"
"03.01.2015 16:45 - 03.01.2015 17:00","59511","59689"
"03.01.2015 17:00 - 03.01.2015 17:15","59919","62070"
"03.01.2015 17:15 - 03.01.2015 17:30","60835","62296"
"03.01.2015 17:30 - 03.01.2015 17:45","61071","62740"
"03.01.2015 17:45 - 03.01.2015 18:00","61121","63001"
"03.01.2015 18:00 - 03.01.2015 18:15","61380","63119"
"03.01.2015 18:15 - 03.01.2015 18:30","60853","62557"
"03.01.2015 18:30 - 03.01.2015 18:45","60735","62036"
"03.01.2015 18:45 - 03.01.2015 19:00","60563","61582"
"03.01.2015 19:00 - 03.01.2015 19:15","60202","60665"
"03.01.2015 19:15 - 03.01.2015 19:30","59770","60702"
"03.01.2015 19:30 - 03.01.2015 19:45","59320","59489"
"03.01.2015 19:45 - 03.01.2015 20:00","58572","59440"
"03.01.2015 20:00 - 03.01.2015 20:15","57711","57604"
"03.01.2015 20:15 - 03.01.2015 20:30","56684","56505"
"03.01.2015 20:30 - 03.01.2015 20:45","55670","55506"
"03.01.2015 20:45 - 03.01.2015 21:00","55177","54505"
"03.01.2015 21:00 - 03.01.2015 21:15","54798","54010"
"03.01.2015 21:15 - 03.01.2015 21:30","54441","53743"
"03.01.2015 21:30 - 03.01.2015 21:45","54068","53570"
"03.01.2015 21:45 - 03.01.2015 22:00","53819","53600"
"03.01.2015 22:00 - 03.01.2015 22:15","54278","53909"
"03.01.2015 22:15 - 03.01.2015 22:30","54532","54261"
"03.01.2015 22:30 - 03.01.2015 22:45","54107","53650"
"03.01.2015 22:45 - 03.01.2015 23:00","53261","52749"
"03.01.2015 23:00 - 03.01.2015 23:15","52754","51804"
"03.01.2015 23:15 - 03.01.2015 23:30","51285","51853"
"03.01.2015 23:30 - 03.01.2015 23:45","50532","51209"
"03.01.2015 23:45 - 04.01.2015 00:00","50361","50699"
"04.01.2015 00:00 - 04.01.2015 00:15","49483","49719"
"04.01.2015 00:15 - 04.01.2015 00:30","47893","48882"
"04.01.2015 00:30 - 04.01.2015 00:45","46832","48653"
"04.01.2015 00:45 - 04.01.2015 01:00","46509","47920"
"04.01.2015 01:00 - 04.01.2015 01:15","45920","45033"
"04.01.2015 01:15 - 04.01.2015 01:30","45588","44692"
"04.01.2015 01:30 - 04.01.2015 01:45","45219","44762"
"04.01.2015 01:45 - 04.01.2015 02:00","44538","44042"
"04.01.2015 02:00 - 04.01.2015 02:15","44425","42852"
"04.01.2015 02:15 - 04.01.2015 02:30","44167","42691"
"04.01.2015 02:30 - 04.01.2015 02:45","44091","42542"
"04.01.2015 02:45 - 04.01.2015 03:00","43912","42382"
"04.01.2015 03:00 - 04.01.2015 03:15","44218","41511"
"04.01.2015 03:15 - 04.01.2015 03:30","44432","41389"
"04.01.2015 03:30 - 04.01.2015 03:45","44269","41586"
"04.01.2015 03:45 - 04.01.2015 04:00","43985","41699"
"04.01.2015 04:00 - 04.01.2015 04:15","44123","41660"
"04.01.2015 04:15 - 04.01.2015 04:30","44112","41462"
"04.01.2015 04:30 - 04.01.2015 04:45","44330","41779"
"04.01.2015 04:45 - 04.01.2015 05:00","44263","41719"
"04.01.2015 05:00 - 04.01.2015 05:15","44232","41658"
"04.01.2015 05:15 - 04.01.2015 05:30","44033","41050"
"04.01.2015 05:30 - 04.01.2015 05:45","43739","41203"
"04.01.2015 05:45 - 04.01.2015 06:00","43184","40579"
"04.01.2015 06:00 - 04.01.2015 06:15","42420","39565"
"04.01.2015 06:15 - 04.01.2015 06:30","42119","39597"
"04.01.2015 06:30 - 04.01.2015 06:45","42025","40881"
"04.01.2015 06:45 - 04.01.2015 07:00","41992","41624"
"04.01.2015 07:00 - 04.01.2015 07:15","42443","42564"
"04.01.2015 07:15 - 04.01.2015 07:30","42951","42416"
"04.01.2015 07:30 - 04.01.2015 07:45","43644","43749"
"04.01.2015 07:45 - 04.01.2015 08:00","44659","44668"
"04.01.2015 08:00 - 04.01.2015 08:15","45521","45382"
"04.01.2015 08:15 - 04.01.2015 08:30","46181","46034"
"04.01.2015 08:30 - 04.01.2015 08:45","47123","47065"
"04.01.2015 08:45 - 04.01.2015 09:00","47996","47374"
"04.01.2015 09:00 - 04.01.2015 09:15","49520","48203"
"04.01.2015 09:15 - 04.01.2015 09:30","50410","49070"
"04.01.2015 09:30 - 04.01.2015 09:45","50973","49741"
"04.01.2015 09:45 - 04.01.2015 10:00","51646","50748"
"04.01.2015 10:00 - 04.01.2015 10:15","52284","51634"
"04.01.2015 10:15 - 04.01.2015 10:30","52763","52229"
"04.01.2015 10:30 - 04.01.2015 10:45","53329","52801"
"04.01.2015 10:45 - 04.01.2015 11:00","53785","53572"
"04.01.2015 11:00 - 04.01.2015 11:15","54671","54796"
"04.01.2015 11:15 - 04.01.2015 11:30","55450","56201"
"04.01.2015 11:30 - 04.01.2015 11:45","55957","56960"
"04.01.2015 11:45 - 04.01.2015 12:00","56108","57209"
"04.01.2015 12:00 - 04.01.2015 12:15","56262","56761"
"04.01.2015 12:15 - 04.01.2015 12:30","55985","56733"
"04.01.2015 12:30 - 04.01.2015 12:45","55659","56236"
"04.01.2015 12:45 - 04.01.2015 13:00","55183","55628"
"04.01.2015 13:00 - 04.01.2015 13:15","54665","55106"
"04.01.2015 13:15 - 04.01.2015 13:30","54338","54124"
"04.01.2015 13:30 - 04.01.2015 13:45","53844","53894"
"04.01.2015 13:45 - 04.01.2015 14:00","53486","53523"
"04.01.2015 14:00 - 04.01.2015 14:15","53207","53193"
"04.01.2015 14:15 - 04.01.2015 14:30","52590","52583"
"04.01.2015 14:30 - 04.01.2015 14:45","52275","52559"
"04.01.2015 14:45 - 04.01.2015 15:00","52181","52553"
"04.01.2015 15:00 - 04.01.2015 15:15","52296","52734"
"04.01.2015 15:15 - 04.01.2015 15:30","52289","52359"
"04.01.2015 15:30 - 04.01.2015 15:45","52153","52371"
"04.01.2015 15:45 - 04.01.2015 16:00","52455","52645"
"04.01.2015 16:00 - 04.01.2015 16:15","52749","53797"
"04.01.2015 16:15 - 04.01.2015 16:30","53282","54418"
"04.01.2015 16:30 - 04.01.2015 16:45","54017","54844"
"04.01.2015 16:45 - 04.01.2015 17:00","55204","56131"
"04.01.2015 17:00 - 04.01.2015 17:15","56630","57421"
"04.01.2015 17:15 - 04.01.2015 17:30","57814","57967"
"04.01.2015 17:30 - 04.01.2015 17:45","58266","58338"
"04.01.2015 17:45 - 04.01.2015 18:00","58517","58551"
"04.01.2015 18:00 - 04.01.2015 18:15","59086","58917"
"04.01.2015 18:15 - 04.01.2015 18:30","59337","58624"
"04.01.2015 18:30 - 04.01.2015 18:45","59322","58560"
"04.01.2015 18:45 - 04.01.2015 19:00","59104","58445"
"04.01.2015 19:00 - 04.01.2015 19:15","58842","57709"
"04.01.2015 19:15 - 04.01.2015 19:30","58230","57235"
"04.01.2015 19:30 - 04.01.2015 19:45","57780","57312"
"04.01.2015 19:45 - 04.01.2015 20:00","56911","56714"
"04.01.2015 20:00 - 04.01.2015 20:15","56110","55934"
"04.01.2015 20:15 - 04.01.2015 20:30","55280","55299"
"04.01.2015 20:30 - 04.01.2015 20:45","54567","54288"
"04.01.2015 20:45 - 04.01.2015 21:00","53908","54253"
"04.01.2015 21:00 - 04.01.2015 21:15","53879","53576"
"04.01.2015 21:15 - 04.01.2015 21:30","53533","53312"
"04.01.2015 21:30 - 04.01.2015 21:45","53543","53246"
"04.01.2015 21:45 - 04.01.2015 22:00","53751","52988"
"04.01.2015 22:00 - 04.01.2015 22:15","54551","54155"
"04.01.2015 22:15 - 04.01.2015 22:30","54585","54042"
"04.01.2015 22:30 - 04.01.2015 22:45","53914","54020"
"04.01.2015 22:45 - 04.01.2015 23:00","52960","53044"
"04.01.2015 23:00 - 04.01.2015 23:15","52297","52300"
"04.01.2015 23:15 - 04.01.2015 23:30","51931","51398"
"04.01.2015 23:30 - 04.01.2015 23:45","51453","50855"
"04.01.2015 23:45 - 05.01.2015 00:00","50585","49820"
"05.01.2015 00:00 - 05.01.2015 00:15","51003","49394"
"05.01.2015 00:15 - 05.01.2015 00:30","50480","48671"
"05.01.2015 00:30 - 05.01.2015 00:45","50145","48142"
"05.01.2015 00:45 - 05.01.2015 01:00","49678","47774"
"05.01.2015 01:00 - 05.01.2015 01:15","49198","47155"
"05.01.2015 01:15 - 05.01.2015 01:30","48671","46274"
"05.01.2015 01:30 - 05.01.2015 01:45","48291","46174"
"05.01.2015 01:45 - 05.01.2015 02:00","48238","45871"
"05.01.2015 02:00 - 05.01.2015 02:15","47612","45579"
"05.01.2015 02:15 - 05.01.2015 02:30","47382","45293"
"05.01.2015 02:30 - 05.01.2015 02:45","47282","45095"
"05.01.2015 02:45 - 05.01.2015 03:00","47180","44958"
"05.01.2015 03:00 - 05.01.2015 03:15","47273","44900"
"05.01.2015 03:15 - 05.01.2015 03:30","47196","44901"
"05.01.2015 03:30 - 05.01.2015 03:45","47311","44967"
"05.01.2015 03:45 - 05.01.2015 04:00","47389","44963"
"05.01.2015 04:00 - 05.01.2015 04:15","47782","45349"
"05.01.2015 04:15 - 05.01.2015 04:30","48105","45705"
"05.01.2015 04:30 - 05.01.2015 04:45","48530","46129"
"05.01.2015 04:45 - 05.01.2015 05:00","49064","46919"
"05.01.2015 05:00 - 05.01.2015 05:15","49714","48419"
"05.01.2015 05:15 - 05.01.2015 05:30","50698","49454"
"05.01.2015 05:30 - 05.01.2015 05:45","51544","50399"
"05.01.2015 05:45 - 05.01.2015 06:00","52486","51863"
"05.01.2015 06:00 - 05.01.2015 06:15","54481","53625"
"05.01.2015 06:15 - 05.01.2015 06:30","56543","55448"
"05.01.2015 06:30 - 05.01.2015 06:45","57889","57185"
"05.01.2015 06:45 - 05.01.2015 07:00","59256","59055"
"05.01.2015 07:00 - 05.01.2015 07:15","61336","61046"
"05.01.2015 07:15 - 05.01.2015 07:30","62577","62292"
"05.01.2015 07:30 - 05.01.2015 07:45","63288","63254"
"05.01.2015 07:45 - 05.01.2015 08:00","63981","64250"
"05.01.2015 08:00 - 05.01.2015 08:15","65060","65813"
"05.01.2015 08:15 - 05.01.2015 08:30","65250","66221"
"05.01.2015 08:30 - 05.01.2015 08:45","65467","66713"
"05.01.2015 08:45 - 05.01.2015 09:00","65875","66873"
"05.01.2015 09:00 - 05.01.2015 09:15","66134","67611"
"05.01.2015 09:15 - 05.01.2015 09:30","66527","67853"
"05.01.2015 09:30 - 05.01.2015 09:45","67038","68182"
"05.01.2015 09:45 - 05.01.2015 10:00","66831","68488"
"05.01.2015 10:00 - 05.01.2015 10:15","67670","68791"
"05.01.2015 10:15 - 05.01.2015 10:30","67874","68996"
"05.01.2015 10:30 - 05.01.2015 10:45","68558","69225"
"05.01.2015 10:45 - 05.01.2015 11:00","68323","69423"
"05.01.2015 11:00 - 05.01.2015 11:15","68745","69601"
"05.01.2015 11:15 - 05.01.2015 11:30","69367","69965"
"05.01.2015 11:30 - 05.01.2015 11:45","69657","70067"
"05.01.2015 11:45 - 05.01.2015 12:00","69639","69924"
"05.01.2015 12:00 - 05.01.2015 12:15","69364","69828"
