"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"01.01.2015 00:00 - 01.01.2015 00:15","50137","49025"
"01.01.2015 00:15 - 01.01.2015 00:30","49545","48534"
"01.01.2015 00:30 - 01.01.2015 00:45","49067","48548"
"01.01.2015 00:45 - 01.01.2015 01:00","48476","48249"
"01.01.2015 01:00 - 01.01.2015 01:15","47452","47658"
"01.01.2015 01:15 - 01.01.2015 01:30","47264","47184"
"01.01.2015 01:30 - 01.01.2015 01:45","46722","46797"
"01.01.2015 01:45 - 01.01.2015 02:00","46372","46490"
"01.01.2015 02:00 - 01.01.2015 02:15","45985","46101"
"01.01.2015 02:15 - 01.01.2015 02:30","45792","45832"
"01.01.2015 02:30 - 01.01.2015 02:45","45728","45508"
"01.01.2015 02:45 - 01.01.2015 03:00","45501","45035"
"01.01.2015 03:00 - 01.01.2015 03:15","45473","44655"
"01.01.2015 03:15 - 01.01.2015 03:30","45262","44378"
"01.01.2015 03:30 - 01.01.2015 03:45","45232","43981"
"01.01.2015 03:45 - 01.01.2015 04:00","45258","44001"
"01.01.2015 04:00 - 01.01.2015 04:15","45331","43962"
"01.01.2015 04:15 - 01.01.2015 04:30","45264","43789"
"01.01.2015 04:30 - 01.01.2015 04:45","45490","43705"
"01.01.2015 04:45 - 01.01.2015 05:00","45607","43606"
"01.01.2015 05:00 - 01.01.2015 05:15","45783","43891"
"01.01.2015 05:15 - 01.01.2015 05:30","45783","43693"
"01.01.2015 05:30 - 01.01.2015 05:45","45737","43488"
"01.01.2015 05:45 - 01.01.2015 06:00","45503","43286"
"01.01.2015 06:00 - 01.01.2015 06:15","44242","43108"
"01.01.2015 06:15 - 01.01.2015 06:30","43452","43511"
"01.01.2015 06:30 - 01.01.2015 06:45","43979","44081"
"01.01.2015 06:45 - 01.01.2015 07:00","44630","44481"
"01.01.2015 07:00 - 01.01.2015 07:15","46213","44943"
"01.01.2015 07:15 - 01.01.2015 07:30","47594","45134"
"01.01.2015 07:30 - 01.01.2015 07:45","47858","45504"
"01.01.2015 07:45 - 01.01.2015 08:00","48349","45923"
"01.01.2015 08:00 - 01.01.2015 08:15","49339","46295"
"01.01.2015 08:15 - 01.01.2015 08:30","49841","46491"
"01.01.2015 08:30 - 01.01.2015 08:45","49804","46463"
"01.01.2015 08:45 - 01.01.2015 09:00","50481","46896"
"01.01.2015 09:00 - 01.01.2015 09:15","51565","47758"
"01.01.2015 09:15 - 01.01.2015 09:30","52430","48487"
"01.01.2015 09:30 - 01.01.2015 09:45","52860","49165"
"01.01.2015 09:45 - 01.01.2015 10:00","53306","49788"
"01.01.2015 10:00 - 01.01.2015 10:15","53855","50119"
"01.01.2015 10:15 - 01.01.2015 10:30","54502","50829"
"01.01.2015 10:30 - 01.01.2015 10:45","55303","51537"
"01.01.2015 10:45 - 01.01.2015 11:00","55741","52054"
"01.01.2015 11:00 - 01.01.2015 11:15","56705","52940"
"01.01.2015 11:15 - 01.01.2015 11:30","57284","53447"
"01.01.2015 11:30 - 01.01.2015 11:45","57917","53899"
"01.01.2015 11:45 - 01.01.2015 12:00","57994","54368"
"01.01.2015 12:00 - 01.01.2015 12:15","58035","54796"
"01.01.2015 12:15 - 01.01.2015 12:30","58005","55193"
"01.01.2015 12:30 - 01.01.2015 12:45","57915","55186"
"01.01.2015 12:45 - 01.01.2015 13:00","56818","55020"
"01.01.2015 13:00 - 01.01.2015 13:15","55345","54627"
"01.01.2015 13:15 - 01.01.2015 13:30","54964","54124"
"01.01.2015 13:30 - 01.01.2015 13:45","55505","53754"
"01.01.2015 13:45 - 01.01.2015 14:00","55117","53642"
"01.01.2015 14:00 - 01.01.2015 14:15","54280","53243"
"01.01.2015 14:15 - 01.01.2015 14:30","54595","53095"
"01.01.2015 14:30 - 01.01.2015 14:45","55248","52991"
"01.01.2015 14:45 - 01.01.2015 15:00","54755","52682"
"01.01.2015 15:00 - 01.01.2015 15:15","54969","52861"
"01.01.2015 15:15 - 01.01.2015 15:30","54979","52963"
"01.01.2015 15:30 - 01.01.2015 15:45","54831","53354"
"01.01.2015 15:45 - 01.01.2015 16:00","54969","53763"
"01.01.2015 16:00 - 01.01.2015 16:15","55502","54044"
"01.01.2015 16:15 - 01.01.2015 16:30","55933","54622"
"01.01.2015 16:30 - 01.01.2015 16:45","57043","55532"
"01.01.2015 16:45 - 01.01.2015 17:00","58396","56546"
"01.01.2015 17:00 - 01.01.2015 17:15","59344","58062"
"01.01.2015 17:15 - 01.01.2015 17:30","60264","58926"
"01.01.2015 17:30 - 01.01.2015 17:45","60885","59063"
"01.01.2015 17:45 - 01.01.2015 18:00","61063","59008"
"01.01.2015 18:00 - 01.01.2015 18:15","61475","58803"
